"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes";"youtube"
"Leo Ferre";"T'es rock, coco ! vol. IV";"C'est le printemps";"1964";"BARCLAY";1714872171;1714872330;;;"https://music.apple.com/fr/album/cest-le-printemps/1443002421?i=1443005760&uo=4";
"Donna Summer";"The Donna Summer anthology (1 of 2)";"Spring affair";"1976";"PHONOGRAM";1714872332;1714872571;"https://open.spotify.com/track/2ldalh6d2MrsAFaZG9H3P4";"https://www.deezer.com/track/538714382";"https://music.apple.com/fr/album/spring-affair/1423291782?i=1423291785&uo=4";
"Saint Etienne";"Foxbase alpha";"Spring";"1991";"WARNER BROS";1714872562;1714872784;;"https://www.deezer.com/track/4094997";;
"Remi Panossian Trio (rp3)";"In odd we trust";"Wind memories";"2020";"ADD FICTION / L'AUTRE DISTRIBUTION";1714872777;1714872993;;;;
"Ray Charles";"The definitive Ray Charles";"Mess around";"1953";"ATLANTIC";1714872986;1714873144;;"https://www.deezer.com/track/765625";"https://music.apple.com/fr/album/mess-around/917259980?i=917260449&uo=4";
"Crystal Murray";"Starmaniak";"Starmaniak";"2024";"BECAUSE";1714873144;1714873348;"https://open.spotify.com/track/0oiDQrVcDg6sBJ9aDXTDhf";;;
"Vampire Weekend";"Classical";"Classical";"2024";"COLUMBIA";1714873344;1714873604;"https://open.spotify.com/track/4DlGLD32K7shuL8ub067DL";"https://www.deezer.com/track/2732298551";"https://music.apple.com/fr/album/classical/1728945682?i=1728945686&uo=4";
"Saigon Soul Revival";"Ai that long yeu ai";"Ai that long yeu ai (Instrumental)";"2024";"SAIGON SUPERSOUND";1714873602;1714873841;;;"https://music.apple.com/fr/album/ai-th%E1%BA%ADt-l%C3%B2ng-y%C3%AAu-ai-instrumental/1734997406?i=1734997418&uo=4";
"Orkes Teruna Ria";"Padang moonrise : The birth of the modern indonesian recording industry (1955-69)";"Tak ton tong";"";"SOUNDWAY RECORDS LTD";1714873836;1714874001;"https://open.spotify.com/track/6PiiblvXjOzY3B42bYNZUQ";;;
"Christiane Legrand";"Nouvelle vague";"A la Colette";"1960";"WEWANTSOUNDS";1714873975;1714874127;;;;
"Jack Johnson";"Upside down";"Upside Down";"2006";"UNIVERSAL";1714874124;1714874332;"https://open.spotify.com/track/0aJrYfARfCKzv6gXjhs4SZ";;;
"The Keyboys";"Club Meduse compiled by Charles Bals";"Savannah";"2018";"SPACETALK";1714874346;1714874537;"https://open.spotify.com/track/4mVLsXwHlpaNKvl18UtQlv";"https://www.deezer.com/track/1502658022";"https://music.apple.com/fr/album/savannah/1375475954?i=1375475966&uo=4";
"Nami Shimada & Soichi Terada";"Sunshower";"Sunshower";"2014";"CREME ORGANIZATION";1714874535;1714874850;;;;
"Aili";"Nandakke ?";"Ichiban";"2024";"ESKIMO RECORDINGS";1714874847;1714875071;;;;
"Telly";"Shaolin dolphin";"Sunlight";"2019";"1988";1714875065;1714875216;;;;
"Mort Garson";"Mother earth's plantasia";"Swingin' spathiphyllums";"1976";"SACRED BONES RECORDS";1714875216;1714875392;;;"https://music.apple.com/fr/album/swingin-spathiphyllums/1454691596?i=1454691603&uo=4";
"Tole Froide";"La Redoute";"Autodétruisez-vous";"2020";"LE TURC MECANIQUE";1714875389;1714875545;;;;
"The Doors";"The Doors : The singles";"Wild child";"1975";"ELEKTRA";1714875542;1714875698;;"https://www.deezer.com/track/3614140";;
"Barefoot Jerry";"Southern delight / Barefoot Jerry";"Message";"1971";"PUMPKIN RECORD PRODUCTIONS";1714875695;1714875883;;;;
"Matata";"Best of Matata";"Gettin' together";"1974";"SOUL POSTERS";1714875887;1714876061;;;;
"Afrobeat Makers";"Tony Allen rhythms revisited by Afrobeat makers";"Ikeja roads";"2012";"COMET RECORDS";1714876049;1714876208;;;;
"Dandara";"Dandara & Chakib";"Muri";"2024";"WONDERWHEEL RECORDINGS";1714876199;1714876393;"https://open.spotify.com/track/5IFucsSNNb99kmIsdjFLzj";"https://www.deezer.com/track/2595265682";;
"50 Cent";"Get rich or die tryin'";"P.I.M.P.";"2003";"SASDRE";1714876397;1714876647;"https://open.spotify.com/track/2D1hlMwWWXpkc3CZJ5U351";"https://www.deezer.com/track/1141674";;
"Soulnaturals";"Give me the strength to be me";"Give me the strength to be me";"2023";"LOVEMONK";1714876645;1714876937;"https://open.spotify.com/track/68nEsDO024aeF2qC10uoze";;;
"Thomas De Pourquery";"Let the monster fall";"Back from the war";"2024";"BELIEVE";1714876934;1714877186;"https://open.spotify.com/track/68HQxa5VaW3lHrNNlzVVhy";;;
"Robohands";"Shapes";"Outsider";"2021";"KINGUNDERGROUND";1714877174;1714877351;"https://open.spotify.com/track/5Isycj5tThB1DiifJgP4ef";"https://www.deezer.com/track/1157406292";"https://music.apple.com/fr/album/outsider/1542377383?i=1542377393&uo=4";
"Serge Gainsbourg";"N°4";"Black trombone";"1963";"MERCURY";1714877350;1714877505;;;;
"Criolo";"Espiral de Ilusao";"Menino mimado";"2017";"OLOKO RECORDS";1714877504;1714877724;"https://open.spotify.com/track/1Ok0Ory333k6VvhpCxwpxK";"https://www.deezer.com/track/530659401";"https://music.apple.com/fr/album/menino-mimado-deluxe-edition/1318791460?i=1318791670&uo=4";
"Claudia Telles";"Brazilian disco boogie sounds /1978-1982";"Um momento qualquer";"1979";"FAVORITE RECORDINGS";1714877721;1714877898;"https://open.spotify.com/track/1xoeVAEUNHukF2L89ZTbCP";;;
"Babadu";"Americana / Rock your soul";"I love music";"1979";"BBE";1714877911;1714878132;;;;
"Marcoca";"Cosmic blunder";"Tofu salad";"2022";"NICE GUYS";1714878128;1714878420;"https://open.spotify.com/track/0QNfRnwFrKKphqoiF6QaNp";;;
"Perilymph";"Progressions imaginaires";"Les yeux";"2024";"STONE PIXELS RECORDS";1714878415;1714878827;"https://open.spotify.com/track/0alyrCZ2PAOnIxjtN5bIzo";;;
"Lance Ferguson";"Far beyond";"Far beyond (Radio edit)";"2021";"FREESTYLE RECORDS";1714878823;1714879086;;"https://www.deezer.com/track/1545688502";;
"Ann Peebles";"Lookin' for a lovin'";"Respect";"1969";"HIMEDIA7";1714879087;1714879219;"https://open.spotify.com/track/6OIHBaasbCpSwMjmH3BNSJ";"https://www.deezer.com/track/738662812";;
"Sound Dimension";"Mojo rocksteady beat";"Scorcia";"1969";"SOUL JAZZ RECORDS";1714879216;1714879351;;;;
"Chuck Berry";"Chuck";"Jamaica moon";"2017";"DECCA / UNIVERSAL";1714879348;1714879576;"https://open.spotify.com/track/1yNNaa6mZ3FyD5Plwj5W74";"https://www.deezer.com/track/369179001";"https://music.apple.com/fr/album/jamaica-moon/1440883377?i=1440883751&uo=4";
"Don & Francoiz";"Cover songs in Inferno";"Morning dew";"2023";"PROHIBITED RECORDS / L'AUTRE DISTRIBUTION";1714879576;1714879884;;;;
"Marc-Antoine Perrio";"Escapist (heal, till you live forever)";"Flash (feat. Elise Preys)";"2023";"ORFEVRE (ACQUISITION)";1714879888;1714880097;;;;
"Klim Beats";"Memory image";"Oranges";"2023";"AUTOPRODUCTION";1714880092;1714880232;;;;
"Galliano";"In pursuit of the 13th note";"Five sons of the mother";"1991";"TALKIN LOUD";1714880215;1714880480;"https://open.spotify.com/track/4u5qltK5GL5zbRBUUwMnBu";;;
"Kassav'";"An-ba-chen'n la";"Sa ki la pouw...";"1985";"GD PRODUCTIONS";1714880472;1714880673;;;;
"Lionel Richie";"Back to front";"All night long";"1983";"MOTOWN";1714880678;1714880928;;;;
"Brian Eno";"Apollo (Atmospheres & Soundtracks)";"Weightless";"1983";"EG RECORDS";1714880925;1714881193;;;;
"Nick Drake";"Five leaves left";"Way to blue";"1969";"ISLAND";1714881188;1714881378;"https://open.spotify.com/track/3GYcEm6ZGkn42RdMQemEo1";"https://www.deezer.com/track/2282997";"https://music.apple.com/fr/album/way-to-blue/1440656068?i=1440656402&uo=4";
"Renee Fleming";"Great opera scenes";"Les noces de Figaro : Porgi amor (Acte II) Air de la Comtesse";"1997";"DECCA";1714881377;1714881603;;;;
"Dom La Nena";"BOF / La vie de ma mère";"La vie de ma mère : Berceuse pour Judith";"2024";"SABIA";1714881618;1714881723;;;;
"Billie Holiday";"The complete Billie Holiday on Verve 1945-1959 cd 8 à 10";"I'll never smile again";"1959";"VERVE";1714881719;1714881922;"https://open.spotify.com/track/1LRVJ8JbOWeSZZwmOMaMH0";;;
"Henri Salvador";"Chambre avec vue";"J'ai vu";"2000";"SOURCE";1714881920;1714882128;"https://open.spotify.com/track/7zvosRpcTfzYWemw2OgMZJ";;"https://music.apple.com/fr/album/jai-vu/697417162?i=697417435&uo=4";
"Bjork";"Homogenic";"Unravel";"1997";"MOTHER";1714882127;1714882328;"https://open.spotify.com/track/1TtmEexOoL27br2q8ifxBl";"https://www.deezer.com/track/2629693862";;
"Park Jiha";"Communion";"The longing of the yawning divide";"2016";"TAK:TIL / GLITTERBEAT";1714882331;1714882521;"https://open.spotify.com/track/0sbKblTUwjOzuyRgj0WPNK";;;
"Prince";"The gold experience";"The most beautiful girl in the world";"1995";"WARNER BROS";1714882515;1714882780;"https://open.spotify.com/track/0aPaGIX2QIMAH5SMp0VEMe";;;
"Polylogue From Sila";"Supertales";"Moonface (feat. Localblac)";"2024";"TAKE IT EASY AGENCY / SHARMA";1714882776;1714882948;;;"https://music.apple.com/fr/album/moonface-feat-localblac/1731865728?i=1731865737&uo=4";
"Teddy Lasry";"Funky ghost 1975-1987";"Funky Ghost";"1981";"HOT MULE RECORDS";1714882947;1714883189;;;;
"Daft Punk";"Random access memories";"Give life back to music";"2013";"SONY";1714883196;1714883467;"https://open.spotify.com/track/0dEIca2nhcxDUV8C5QkPYb";;;
"Mildlife";"Chorus";"Yourself";"2024";"HEAVENLY RECORDINGS";1714883460;1714883842;"https://open.spotify.com/track/3lFyL9JJvWnlZ13YzpTwzS";"https://www.deezer.com/track/2514003431";"https://music.apple.com/fr/album/yourself/1713532980?i=1713533722&uo=4";
"Cannonball Adderley Quintet";"Inside straight";"Inside straight";"1973";"FANTASY";1714883834;1714884034;;;"https://music.apple.com/fr/album/inside-straight/1442937702?i=1442937719&uo=4";
"Elza Soares";"Brazuca / Samba rock & brazilian grooves from the golden years 1966-1978";"Saltei de banda";"1972";"KINDRED SPIRITS";1714884029;1714884208;"https://open.spotify.com/track/3rngHt8uDaOTrzoihUEAvw";;;
"Brigitte Bardot";"Initiales BB";"Harley davidson";"1967";"MERCURY";1714884208;1714884356;;;;
"George Harrison";"George Harrison / CD5";"Faster";"1979";"PARLOPHONE";1714884327;1714884611;"https://open.spotify.com/track/3pVe6xmg2abrMjyVJ8vusQ";;"https://music.apple.com/fr/album/faster-2004-remaster/1666655988?i=1666655994&uo=4";
"Boston Pops Orchestra";"John Williams et Steven Spielberg : The ultimate collection";"Indiana Jones et la dernière croisade : Scherzo for motorcycle and orchestra";"2017";"SONY CLASSICAL";1714884598;1714884766;;;;
"Boldy James";"Indiana Jones";"Tell it all";"2023";"BOLDY JAMES & RICHGAINS";1714884762;1714884999;"https://open.spotify.com/track/5COroqAiI2tLsLSmcDOXe9";;;
"Gorillaz";"Demon days";"El mañana";"2005";"EMI";1714884999;1714885229;"https://open.spotify.com/track/0dcMqjeDpwqB2xhzMsld0p";"https://www.deezer.com/track/3129408";"https://music.apple.com/fr/album/el-ma%C3%B1ana/850571319?i=850571377&uo=4";
"Wax Machine";"The sky unfurls, the dance goes on";"Memories";"2023";"BATOV RECORDS";1714885212;1714885420;"https://open.spotify.com/track/1LIme6Vag8c5lbCncFhJMN";"https://www.deezer.com/track/2405372215";"https://music.apple.com/fr/album/memories/1702004194?i=1702004199&uo=4";
"Omar Sharif";"Cinq coeurs pour Elvire";"Amore piccolino";"1974";"BARCLAY";1714885418;1714885588;;;;
"Marie Modiano";"Outland";"Last early spring";"2008";"NAIVE";1714885587;1714885799;"https://open.spotify.com/track/69yMkSMSQSSfW5uDMAm5nY";"https://www.deezer.com/track/594720822";;
"Bobbie Gentry";"Delta swamp rock : Sounds from the south";"Papa won't you let me go";"1967";"SOUL JAZZ";1714885794;1714885946;;;;
"Baligh Hamdi";"Instrumental Modal Pop of 1970's Egypt";"Ghada";"1973";"SUBLIME FREQUENCIES";1714885946;1714886074;;"https://www.deezer.com/track/2286900597";;
"Terez Montcalm";"Step out";"Seul sur son étoile";"2024";"SPECTRA MUSIQUE";1714886073;1714886288;"https://open.spotify.com/track/3nkXBwT5ea3In9vOUtz2kW";"https://www.deezer.com/track/2622580832";;
"Nate Evans";"Skyway Soul : Gary, Indiana";"The look on your face";"2023";"";1714886286;1714886445;"https://open.spotify.com/track/4duHJVeafKCOYJUnXfqnl6";;;
"Espen Horne";"The anatomy of serene eloquence";"Don't fall asleep (feat. Faye Houston)";"2023";"WAH WAH 45S";1714886443;1714886703;;;"https://music.apple.com/fr/album/dont-fall-asleep-feat-faye-houston/1713904018?i=1713904024&uo=4";
"Sven Wunder";"Impasto";"Impasto";"2021";"PIANO PIANO RECORDS";1714886701;1714886891;"https://open.spotify.com/track/1z7SGD6F6OYGinYGyym9uC";"https://www.deezer.com/track/2149427377";"https://music.apple.com/fr/album/impasto/1671850742?i=1671851100&uo=4";
"The Blind Boys Of Alabama";"Echoes of the South";"The last time";"2023";"SINGLE LOCK RECORDS";1714886889;1714887123;"https://open.spotify.com/track/5bDQFhEz3Us3LDHYHC1mE0";"https://www.deezer.com/track/2559624772";"https://music.apple.com/fr/album/the-last-time/1687564966?i=1687565478&uo=4";
"Nouvel Orchestre Symphonique De Londres";"Gillbert et Sullivan : The pirates of Penzance et autres oeuvres";"The pirates of Pezance : Poor wand'ring one (Acte I)";"2011";"METRONOME";1714887122;1714887293;;;;
"Seafood Sam";"Standing on giant shoulders";"Can’t take the hood to heaven";"2024";"DRINK SUM WTR";1714887292;1714887548;"https://open.spotify.com/track/5NE0ZaaOtk3EoIeYU2nLrn";"https://www.deezer.com/track/2586899232";"https://music.apple.com/fr/album/cant-take-the-hood-to-heaven/1721636741?i=1721637180&uo=4";
"Dorothy Ashby";"The jazz harpist / Vol. 1 et Vol. 2";"Lonely melody";"1962";"FRESH SOUND RECORDS";1714887547;1714887773;;;;
"Bobby Darin";"Theme time radio hour with your host Bob Dylan / Season 1";"Black coffee";"1960";"ACE RECORDS";1714887771;1714888010;"https://open.spotify.com/track/37zRIS2eELoiYEwyN2p1dy";;;
"Brijean";"Angelo";"Where do we go ?";"2022";"GHOSTLY INTERNATIONAL";1714888007;1714888206;;;;
"Luiz Melodia";"Musica/O melhor da musica de Luiz Melodia";"Mistério da raça";"1998";"WEA INTERNATIONAL";1714888204;1714888401;;"https://www.deezer.com/track/55617201";;
"Stan Getz";"Jazz samba encore!";"So Danco Samba (I Only Dance Samba)";"1963";"VERVE";1714888390;1714888606;;"https://www.deezer.com/track/139608747";;
"Kleeer";"Intimate connection / Seeekret";"Intimate connection";"1984";"EXPANSION";1714888604;1714888888;"https://open.spotify.com/track/2F977UPPZeXQdDMJ7JXpIm";"https://www.deezer.com/track/1128804";"https://music.apple.com/fr/album/intimate-connection/777367?i=777333&uo=4";
"Salami Rose Joe Louis";"Akousmatikous";"Losing steam";"2023";"BRAINFEEDER";1714888884;1714889037;"https://open.spotify.com/track/0Fh5sVGsHJJVjDLAj1Ad0Y";;;
"Pierre Louki";"Les années Saravah / 1967-2002";"Allô, viens je m'emmerde";"2003";"FREMEAUX ET ASSOCIES";1714889036;1714889250;;;;
"Maston";"Darkland";"Tulips";"2021";"BE WITH RECORDS";1714889249;1714889485;;;;
"Suki Waterhouse";"My fun / Faded";"My fun";"2024";"SUB POP RECORDS";1714889478;1714889640;"https://open.spotify.com/track/306xT15GTuDs3NyopIANrh";"https://www.deezer.com/track/2713250191";"https://music.apple.com/fr/album/my-fun/1736964516?i=1736964517&uo=4";
"Jeff Simmons";"Lucille has messed my mind up";"Lucille has messed my mind up";"1969";"STRAIGHT";1714889638;1714889833;;"https://www.deezer.com/track/3601114";;
"Shuggie Otis";"Inspiration information";"Sweet thang";"1971";"LUAKA BOP";1714889826;1714890065;"https://open.spotify.com/track/2u3HmBPHrk3ooSdVikignW";;"https://music.apple.com/fr/album/sweet-thang/250978726?i=250978844&uo=4";
"Hoazin";"Voilà";"Party at Benson's (radio edit)";"2023";"AUTOPRODUCTION";1714890064;1714890347;;;;
"George Benson";"It's uptown";"Summertime";"1966";"COLUMBIA";1714890342;1714890484;;;;
"Britti";"Hello, I'm Britti";"So tired";"2024";"EASY EYE SOUND";1714890484;1714890686;"https://open.spotify.com/track/0xcyZA1vt5j8pMuii7yOCW";;;
"Bryony Jarman-Pinto";"Below dawn";"Feel those things";"2024";"TRU THOUGHTS";1714890683;1714890949;"https://open.spotify.com/track/2Zt8wW5GxJTFCHFBQWxH2F";;;
"Philippe Cohen Solal";"B.O.F / J'aimerais pas crever un dimanche";"Dimanche (piano version)";"1998";"EAST WEST";1714890946;1714891073;;;;
"Stella Le Page";"Sluggin' it Up!";"I was a fountain";"2023";"BEAU CORBEAU";1714891069;1714891305;"https://open.spotify.com/track/7E46MQ2b6FyLsXDztzZKLd";"https://www.deezer.com/track/2395892815";;
"Enji";"Ursgal";"Zavkhan";"2021";"SQUAMA RECORDINGS";1714891303;1714891508;"https://open.spotify.com/track/4gwSJrCGTg77Cdt9rp8Ar6";;;
"Charles Trenet";"Intégrale Charles Trenet - vol.6 (1939 -- 1951) """"lLâme des poètes""""";"Où irons-nous dimanche prochain ?";"1951";"FREMEAUX & ASSOCIES";1714891507;1714891662;;;;
"Kid Loco";"A grand love story";"A grand love theme";"1998";"EAST WEST";1714891660;1714891830;;;;
"High Llamas";"Hey panda";"How the best was won (feat. Bonnie Prince Billy)";"2024";"DRAG CITY";1714891827;1714892004;;;;
"Heavy Chest";"Nice guys love you, vol. 3";"Just you";"2021";"NICE GUYS RECORDS";1714892001;1714892243;"https://open.spotify.com/track/3P2qACWddlIczqSAu6sUUc";;;
"The Rollers";"Eccentric : Soul the outskirts of deep city";"One little piece";"";"NUMEROGROUP";1714892238;1714892412;"https://open.spotify.com/track/6hTS5kinaYs6eF7GRThg4U";;;
"Joey DeFrancesco";"Joey deFrancesco's Goodfellas";"Young at heart";"2009";"CONCORD RECORDS";1714892411;1714892639;;"https://www.deezer.com/track/1142420";;
"Shirley Horn";"Loads of love / Shirley Horn with horns";"The good life";"1964";"MERCURY";1714892638;1714892830;;;;
"Pomplamoose";"Something about us";"Something About Us";"2019";"POMPLAMOOSE";1714892830;1714893044;"https://open.spotify.com/track/1OLzWz9D6TCCcjnqiYp5A7";;;
"Natalia M King";"Woman mind of my own";"(lover) you don't treat me no good";"2021";"DIXIEFROG";1714893043;1714893260;;;;
"Sunday Service Choir";"Jesus is born";"That's how the good lord works";"2019";"INC";1714893261;1714893542;"https://open.spotify.com/track/7b0WhXsRuS4aJFwOI5WUFc";"https://www.deezer.com/track/842370942";;
"Ezechiel Pailhes";"Ventas rumba";"Unless";"2024";"CIRCUS COMPANY";1714893542;1714893698;"https://open.spotify.com/track/7iiWNgph1an8IZuVaGNmjA";;;
"Ben Molinaro";"Bof / MILF";"MILF : Paperclips";"2018";"UNIVERSAL MUSIC DISTRIBUTION DEAL";1714893697;1714893899;;;;
"Hiroshi Sato";"Orient";"Picnic";"1979";"WEWANTSOUNDS";1714893898;1714894116;;;;
"Alex Van Pelt";"Off the clock";"What if";"2023";"KIDDERMINSTER";1714894102;1714894299;"https://open.spotify.com/track/5qlCciT7igcO9Xuflruglf";"https://www.deezer.com/track/2361601975";;
"5nizza";"Borsh division - Future sound of Ukraine";"Vperyod";"2016";"TRIKONT";1714894294;1714894406;;;;
"Francoise Hardy";"Comment te dire adieu";"Comment te dire adieu";"1968";"VIRGIN";1714894398;1714894544;;"https://www.deezer.com/track/3120527";;
"Gato Barbieri";"Afro cubano chant";"Cubano chant";"1995";"SILVA SCREEN";1714894540;1714894820;;;;
"Celia Cruz";"Introducing...";"Bombora quina";"1970";"CHARLY";1714894818;1714894981;;;;
"Stevie Wonder";"At the close of a century (1963 à 1996)";"I was made to love her";"1967";"MOTOWN";1714894981;1714895139;"https://open.spotify.com/track/2aCKBrLn7rbhStk5k4FwnF";;;
"Lauryn Hill";"The miseducation";"Everything is everything";"1998";"RUFFHOUSE/COLUMBIA";1714895135;1714895428;;;;
"Off Swing Quintet & Samy Daussat";"Carmen café";"Rasé de près";"2022";"LABEL OUEST";1714895427;1714895653;;;;
"Bob Dylan";"Nashville skyline";"Peggy day";"1969";"CBS";1714895652;1714895770;"https://open.spotify.com/track/2P1jghKUruf3SDVNj910KC";"https://www.deezer.com/track/15190722";;
"Jacques Helian Et Son Nouvel Orchestre";"Qu'il fait bon vivre";"Qu'il Fait Bon Vivre";"1959";"FESTIVAL";1714895770;1714895912;;;;
"Jalen Ngonda";"Illusions";"Illusions";"2024";"DAPTONE RECORDS";1714895910;1714896124;"https://open.spotify.com/track/0FdvQVBKMN5Vc2SiN7bU0Z";;;
"Amanda Whiting";"The liminality of her";"Nomad";"2024";"FIRST WORD RECORDS";1714896119;1714896385;"https://open.spotify.com/track/4BwMNViVAKW96RRpfy79QS";"https://www.deezer.com/track/2696293602";"https://music.apple.com/fr/album/nomad/1727298047?i=1727298052&uo=4";
"Sophye Soliveau";"Initiation";"Initiation II (Wonder why) (radio edit)";"2024";"AUTOPRODUCTION";1714896362;1714896568;;;;
"Destiny's Child";"Survivor";"Emotion";"2000";"COLUMBIA";1714896565;1714896800;;;;
"Andy Shauf";"Wilds";"Spanish on the beach";"2021";"ANTI";1714896798;1714896950;"https://open.spotify.com/track/3GTqzTpAxsqbXiiL3OBZQu";;"https://music.apple.com/fr/album/spanish-on-the-beach/1583063014?i=1583063737&uo=4";
"Roger Fakhr";"Fine anyway";"Waiting for it everyday";"1978";"HABIBI FUNK RECORDS";1714896948;1714897098;;"https://www.deezer.com/track/1759105207";;
