"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"Francois De Roubaix";"Bof / Le monde electronique de François de Roubaix";"La scoumoune";"1972";"UNIVERSAL";1714907784;1714907931;"https://music.apple.com/fr/album/la-scoumoune-th%C3%A8me-principal/1545859807?i=1545859811&uo=4";;;
"Yellow Magic Orchestra";"Service";"Limbo";"1983";"ALFA RECORDS";1714907931;1714908140;;"https://open.spotify.com/track/2ipks1rhuAU2zM4ryWK0Up";"https://www.deezer.com/track/413314762";
"Cool Sounds";"Like that";"Hello, alright, you got that";"2022";"CHAPTER";1714908139;1714908374;;;;
"Baxter Dury";"I thought I was better than you";"Aylesbury boy";"2023";"HEAVENLY RECORDINGS";1714908370;1714908581;;"https://open.spotify.com/track/2JxopaaLlPWM991AJLYjRW";;
"Fereidoon Farrokhzad & Ramesh";"Khana khana : Funk, psychedelia and pop from the iranian pre-revolution generation";"Moondam az boodanet";"2012";"PHARS";1714908579;1714908743;;;;
"Canned Heat";"Instrumentals 1967 - 1996";"Mi Huautia";"1967";"RUF";1714908740;1714908955;;;;
"Big Maybelle";"I've got a feelin'";"Way back home";"1953";"REV-OLA";1714908954;1714909116;;;"https://www.deezer.com/track/65222202";
"Sarah McKenzie";"We could be lovers";"I Was Doing Alright";"2015";"IMPULSE";1714909116;1714909315;;"https://open.spotify.com/track/6Rn3ln2w072Ezl1hNUQqBA";;
"Cecilia Bartoli";"Sospiri";"Les noces de Figaro K 492 / Voi che sapete (Acte II) air de Chérubin";"2010";"DECCA";1714909314;1714909457;;;;
"Marie Laforet";"Succes de 1964 a 1969 / Volume 2 / Collection sixties des ep's francais";"Entre toi et moi";"1965";"MAGIC RECORDS";1714909457;1714909590;;;;
"The Ventures";"Fantastic & rarities instrumental guitars / Vol. 4";"Sleep walk";"1960";"MAGIC RECORDS";1714909590;1714909711;;;"https://www.deezer.com/track/76519092";
"The Byrds";"The Notorious Byrd Brothers";"Goin' back";"1968";"EDSEL";1714909710;1714909916;;"https://open.spotify.com/track/6mM3QPK502fHwOYaj6ELmm";;
"Theo Lawrence";"Chérie";"I've been here too long";"2023";"TOMIKA RECORDS";1714909914;1714910075;;"https://open.spotify.com/track/6VytgkgNmfHiCEL1l6xTUM";;
"Oscar Jerome";"Breathe deep";"Joy is you";"2020";"CAROLINE";1714910072;1714910306;;"https://open.spotify.com/track/7DyRJrCSEgzDxjCDNrgmgh";;
"Céu";"Novela";"Mucho oro";"2024";"URBAN JUNGLE / ONERPM";1714910303;1714910509;"https://music.apple.com/fr/album/mucho-%C3%B4ro/1740125744?i=1740125962&uo=4";"https://open.spotify.com/track/6ACqKjk2L3ui2NAss7Oej1";;
"Yussef Kamaal";"Black focus";"Yo Chavez";"2016";"BROWNSWOOD";1714910509;1714910748;;"https://open.spotify.com/track/7bufLy1mTp5ckluqJdDptX";"https://www.deezer.com/track/1303980212";
"George Benson";"The other side of abbey road";"Oh ! darling";"1969";"AM RECORDS";1714910745;1714910984;;;;
"Justin Hinds";"Treasure isle/Duke Reid's legacy/The true story of ska, rocksteady, dub and reggae";"Carry go bring home";"1968";"JAHSLAMS";1714910984;1714911210;;;;
"Lord Cobra And Pana-Afro Sounds";"Panama/Latin, calypso and funk on the Isthmus 1965-75";"Rocombey";"1978";"SOUNDWAY";1714911208;1714911429;;;;
"Xavier Boyer";"Soda coda";"Oh liza";"2023";"HUMAN SOUNDS";1714911429;1714911584;;"https://open.spotify.com/track/6er2TAmcPuJCtPvpKeH8go";;
"La Bibliotheque De La Bergerie";"La Bibliothèque de la Bergerie";"Le manuscrit Hopkins";"2023";"FREAKSVILLE RECORDS";1714911582;1714911818;"https://music.apple.com/fr/album/le-manuscrit-hopkins/1688499930?i=1688500442&uo=4";"https://open.spotify.com/track/5w5LlIX1MDk2ulooNBDzZJ";;
"Allie";"Tabula rasa";"Dna";"2021";"ORACLE RECORDS";1714911814;1714912011;;;;
"The Bee Gees";"BOF / Saturday night fever """"Fievre du samedi soir""""";"How Deep Is Your Love";"1977";"POLYDOR";1714912010;1714912251;;;;
"Boule Noire";"Aimer d'amour";"Il me faut une femme";"1978";"UNIDISC MUSIC INC.";1714912248;1714912683;;"https://open.spotify.com/track/3A7fCAA5lTC9ekSIYc8tu2";;
"L.G. Mair, Jr.";"Selected rhythm tracks (1988-1994) (volume I)";"Ghosts";"2023";"CHOON!!";1714912681;1714912854;;;;
"Sparks";"Past tense: the best of sparks";"Singing in the shower (avec les Rita mitsouko)";"1989";"BMG";1714912849;1714913111;;;;
"Guadal Tejaz";"Noche triste";"Valley of hate";"2022";"BEAST RECORDS / CREME BRULEE RECORDS / NEF D FOUS";1714913105;1714913321;;"https://open.spotify.com/track/0d4oZogH4HB8LFmBBmylmf";;
"La Femme";"La femme";"La femme";"2013";"BARCLAY";1714913318;1714913512;;"https://open.spotify.com/track/0k4hXSjWVAAQfCfTfekSL9";"https://www.deezer.com/track/71928216";
"Calexico";"The black light";"Gypsy's curse";"1998";"LABELS";1714913508;1714913764;;"https://open.spotify.com/track/3K5H23JVilrZqLKmjDoacc";;
"Johnny Cash";"BD Music presents Johnny Cash";"Tell Him I’m Gone";"1962";"BDMUSIC";1714913696;1714913876;;;"https://www.deezer.com/track/75298662";
"Lee Hazlewood";"Trouble is a lonesome town";"The girl on death row";"1960";"LIGHT IN THE ATTIC RECORDS";1714913874;1714914035;;;;
"Jessica Pratt";"Here in the pitch";"The last year";"2024";"CITY SLANG";1714914032;1714914246;;"https://open.spotify.com/track/5BgoeQzJbjxOc48yH6wPEH";;
"Orchestre Chambre De Stuttgart";"Philip Glass : Oeuvres symphoniques";"Orphee : Interlude (Acte II Sc 5)";"1996";"NONESUCH";1714914245;1714914390;;;;
"Annikki Tahti";"Jukebox : Music in the films of Aki Kaurismaki";"Muistatko monrepos'n";"1955";"JOHANNA KUSTANNUS";1714914388;1714914566;;;;
"Buttering Trio";"Threesome";"Love in music";"2016";"AUTO PRODUCTION";1714914565;1714914789;;"https://open.spotify.com/track/0Rb8kCwSfMQ2YQJp0pLios";;
"Chelabom";"Marécages";"Marécages";"2024";"TAKE IT EASY AGENCY";1714914786;1714915065;"https://music.apple.com/fr/album/mar%C3%A9cages/1731125573?i=1731125574&uo=4";"https://open.spotify.com/track/7EeEk7N1RE9amxwvw0H9Bt";"https://www.deezer.com/track/2664020222";
"Amanda Whiting";"The liminality of her";"Feels so far away";"2024";"FIRST WORD RECORDS";1714915064;1714915131;;"https://open.spotify.com/track/6xljxgo344rjSpuSbfLb5Y";"https://www.deezer.com/track/2696293652";
"Ella Fitzgerald";"Sings the Cole Porter song book";"Night And Day";"1956";"VERVE";1714915128;1714915311;;"https://open.spotify.com/track/5hByDDVyr6pfRAutehCAYa";;
"Martina Topley Bird";"Some place simple";"All day";"2010";"HONEST JONS";1714915310;1714915459;;;;
"Bakar";"Halo";"All night";"2023";"BLACK BUTTER";1714915457;1714915664;;"https://open.spotify.com/track/1mHGtXWQSfnzB5CLVnsykO";;
"Devo";"E-z listening disc";"Whip it";"1987";"RYKO";1714915664;1714915842;;;;
"UB40";"The very best of UB40 1980-2000";"Food for thought";"1980";"VIRGIN RECORDS";1714915840;1714916087;;"https://open.spotify.com/track/5YkkeIiErNf2ckvMxmT5RT";"https://www.deezer.com/track/3167623";
"Dele Sosimi & The Estuary 21";"The confluence LP";"Alagbara ma me ro";"2024";"WAH WAH 45S";1714916085;1714916314;"https://music.apple.com/fr/album/al%C3%A1gb%C3%A1ra-m%C3%A1-m%C3%A8-r%C3%B2/1732401735?i=1732401835&uo=4";;;
"Bon Voyage Organisation";"Love soup";"Love soup (radio edit)";"2015";"DISQUE POINTU";1714916314;1714916506;;;;
"The Tango Saloon";"Transylvania";"Obvivious theres something down there";"2013";"NEW MARKET MUSIC";1714916503;1714916592;;;;
"Drugdealer";"Raw honey";"Lost in my dream";"2019";"MEXICAN SUMMER";1714916587;1714916882;;"https://open.spotify.com/track/2RRACMKcXyfTKPXelLy3ae";;
"Dana Gillespie";"Foolish seasons";"You just gotta know my mind";"1968";"REV-OLA";1714916881;1714917008;;"https://open.spotify.com/track/2So2oYJ4IUUviQHGJYspHR";"https://www.deezer.com/track/1883566157";
"The Kingsmen";"Louie Louie";"Louie Louie";"1963";"MAGIC";1714917006;1714917169;;;;
"The Vampires Sound Incorporation";"Bof / Vampyros lesbos / Franco / Hubler";"There's no satisfaction";"1971";"CRIPPLED DICK HOT WAX";1714917168;1714917355;;;;
"Nitin Sawhney";"Identity";"Be who you are (feat. Natacha Atlas)";"2023";"RHINO";1714917354;1714917561;;"https://open.spotify.com/track/1jOrqBdLYKoV34z8lP8PbN";;
"Andy Cooper";"The layered effect";"Here comes another one (feat. Blabbermouf)";"2018";"ROCAFORT RECORDS";1714917560;1714917754;;"https://open.spotify.com/track/7piUUwAALlfMJHaKyo6KeN";;
"Lord$";"Speed it up";"Make it alright";"2024";"TRICATEL";1714917753;1714917940;;"https://open.spotify.com/track/5EVWcVIgIJDM1dVvKUmait";"https://www.deezer.com/track/2704030672";
"Grand Pianoramax";"Past forward";"Kite delight";"2020";"DAWNSCAPE RECORDS";1714917938;1714918114;"https://music.apple.com/fr/album/kite-delight/1518611732?i=1518612158&uo=4";"https://open.spotify.com/track/0hoUybAaus5zS1IU3K4MlE";"https://www.deezer.com/track/991993442";
"Brigitte Fontaine";"Brigitte Fontaine est";"Dommage que tu sois mort";"1968";"SARAVAH";1714918112;1714918255;"https://music.apple.com/fr/album/dommage-que-tu-sois-mort/364471595?i=364471665&uo=4";;;
"Les Arts Florissants";"Wolfgang Amadeus Mozart : Requiem K 626 et Ave verum corpus K 618";"Requiem en ré min K 626 pour soli choeur et orchestre : Rex tremendae";"2008";"ERATO";1714918253;1714918384;;;;
"Brenda Lee";"Little miss dynamite";"Emotions";"1961";"MILAN";1714918382;1714918549;;"https://open.spotify.com/track/60jQTAr2OkFcV4SWSRz3st";"https://www.deezer.com/track/2755748141";
"Leyla McCalla";"Sun without the heat";"Give yourself a break";"2024";"ANTI";1714918548;1714918771;"https://music.apple.com/fr/album/give-yourself-a-break/1724035326?i=1724035489&uo=4";"https://open.spotify.com/track/4KPGLKVLc5fs9bQyjXjmub";;
"Johanni Curtet";"BOF / If only I could hibernate";"Slow blues I - The delivery";"2024";"BUDAMUSIQUE";1714918769;1714918955;;"https://open.spotify.com/track/1Yb1au8LRXcRgSQgJTluCo";;
"Tristan De Liege";"Usawa Remixes (Part. 2)";"Moth flutters (feat. Onyi love) (Kalaido Remix)";"2021";"AUTOPRODUCTION";1714918953;1714919144;;;;
"Massive Attack";"Protection";"Karmacoma";"1994";"CIRCA RECORDS";1714919141;1714919456;"https://music.apple.com/fr/album/karmacoma/724338637?i=724339161&uo=4";"https://open.spotify.com/track/46bTgJAQkrkNRxMuFnpRyD";;
"The Heptones";"Studio One story";"Baby";"1967";"SOUL JAZZ RECORDS";1714919449;1714919616;;"https://open.spotify.com/track/3BLtL5PFpX8zktKaY97T86";"https://www.deezer.com/track/457317982";
"Jackie Mittoo";"Studio One funk";"Hang 'em high";"1969";"SOUL JAZZ RE";1714919614;1714919843;;"https://open.spotify.com/track/56zicblenVeUY9UmLaIT7V";"https://www.deezer.com/track/117244888";
"Lisa Leblanc";"Quoi-ce tu fais ça pour ?";"Quoi-ce tu fais ca pour";"2023";"BONSOUND";1714919838;1714920027;;;;
"Dino Brandao";"Self-Inclusion";"Everyday happy birthday";"2024";"TWO GENTLEMEN";1714920025;1714920261;"https://music.apple.com/fr/album/everyday-happy-birthday/1728841788?i=1728841794&uo=4";"https://open.spotify.com/track/20FQVwOzptIEo4nqdBXOaQ";"https://www.deezer.com/track/2650999082";
"Boy And Bear";"Limit of love";"Limit of love";"2015";"NETTWERK";1714920261;1714920472;;;;
"Ronnie Earl And The Broadcasters";"Good news";"I met her on that train";"2014";"STONY PLAIN";1714920472;1714920751;;;;
"Elvis Presley";"The collection / Vol.2";"Jailhouse rock";"1957";"RCA";1714920634;1714920779;"https://music.apple.com/fr/album/jailhouse-rock/217633715?i=217634327&uo=4";;"https://www.deezer.com/track/2739780591";
"Os Mutantes";"Os Mutantes";"A minha menina";"1968";"POLD";1714920777;1714921061;"https://music.apple.com/fr/album/a-minha-menina/1443152697?i=1443152710&uo=4";"https://open.spotify.com/track/0lGEWOZvMexZFXckBJxlVO";"https://www.deezer.com/track/1560122";
"BadBadNotGood";"Take what's given";"Take what's given (feat. Reggie)";"2024";"XL RECORDINGS";1714921059;1714921230;;;;
"Yusef Lateef";"Eastern sounds";"The plum blossom";"1961";"WARNER";1714921228;1714921524;"https://music.apple.com/fr/album/the-plum-blossom/1506112579?i=1506112755&uo=4";;"https://www.deezer.com/track/79178803";
"Dr Buzzard S Original Savannah Band";"Going places / The august darnell years 1976 -1983";"Sunshower";"1976";"STRUT";1714921522;1714921764;;;;
"Nubiyan Twist";"Find your flame";"All the same (feat. Ria Moran)";"2024";"STRUT RECORDS";1714921762;1714922084;;;;
"The Diasonics";"Origin of forms";"Origin";"2021";"RECORD KICKS";1714922082;1714922215;;;"https://www.deezer.com/track/1501942912";
"Buffalo Springfield";"Box set";"For what it's worth";"1967";"VIRGIN";1714922212;1714922370;;;;
"Bijou";"Danse avec moi";"Danse avec moi";"1977";"PHILIPS";1714922368;1714922586;"https://music.apple.com/fr/album/danse-avec-moi/1443832813?i=1443833381&uo=4";;"https://www.deezer.com/track/1122093";
"Asap Rocky";"At long last asap";"Lsd";"2015";"RCA";1714922582;1714922817;;;;
"Session Victim";"Low key, low pressure";"Mycelium dub";"2023";"NIGHT TIME STORIES";1714922816;1714923116;"https://music.apple.com/fr/album/mycelium-dub/1703106371?i=1703106877&uo=4";"https://open.spotify.com/track/46pGbWYMkNwBtoPZgHHcpH";;
"Deniece Williams";"This is Niecy";"Free";"1976";"SONY / BIG BREAK RECORDS";1714923112;1714923473;"https://music.apple.com/fr/album/free/170528113?i=170528258&uo=4";"https://open.spotify.com/track/5aPVQqYEEZKREbFRxLiAp5";"https://www.deezer.com/track/583205";
"Sly & The Family Stone";"There's a riot goin' on";"Family affair";"1971";"EPIC";1714923466;1714923645;"https://music.apple.com/fr/album/family-affair-single-version/193125445?i=193126732&uo=4";;"https://www.deezer.com/track/68075534";
"Alexis Valet";"Following the sun";"Dreams of integrity";"2024";"JAZZ & PEOPLE";1714923643;1714923868;;;;
"Jaseur";"Tour de kapla";"Bisous coeur";"2024";"LA SOUTERRAINE";1714923867;1714924089;;"https://open.spotify.com/track/4tl7obKpyvZPFUIHNMQdIX";;
"Letta Mbulu";"Beach diggin' Vol. 2";"Normalizo";"1985";"HEAVENLY SWEETNESS";1714924088;1714924398;;;;
"Sade";"Promise";"The sweetest taboo";"1985";"EPIC";1714924393;1714924661;;"https://open.spotify.com/track/0sKfhhj6hYyJIXnTiZV9vf";;
"Mambele";"Just begun vol.1 : A journey into Belgian modern grooves";"Le répondeur";"2024";"JUST BEGUN RECORDS";1714924658;1714924873;;"https://open.spotify.com/track/3LJzGEUW6WAbLwqy7JlCR9";;
"Shyguy";"Wait, what. Now ?";"Ray gun";"2024";"TRU THOUGHTS";1714924867;1714925105;"https://music.apple.com/fr/album/ray-gun-instrumental/1715031729?i=1715032173&uo=4";"https://open.spotify.com/track/3ZvDGeLreElFmGKlKNN3ak";"https://www.deezer.com/track/2524619641";
"Mild High Club";"Skiptracing";"Skiptracing";"2016";"STONES THROW";1714925102;1714925321;"https://music.apple.com/fr/album/skiptracing/1110226847?i=1110226861&uo=4";"https://open.spotify.com/track/4I77FZbsed188zTLXXXWfQ";"https://www.deezer.com/track/446000922";
"Billy Brooks";"Windows of the mind";"Fourty days";"1974";"WEWANTSOUNDS";1714925321;1714925696;"https://music.apple.com/fr/album/fourty-days/1530392005?i=1530392015&uo=4";"https://open.spotify.com/track/0J0DDuM9Sh3meYsMMga51K";"https://www.deezer.com/track/1070298912";
"Werner Muller & Son Orchestre";"The in-kraut vol 1 / Hip shaking grooves made in Germany 1966 - 1974";"Bodybuilding";"1971";"MARINA RECORDINGS";1714925695;1714925896;;;;
"Nino Ferrer";"Les années 60";"Mirza";"1966";"BARCLAY";1714925894;1714926038;"https://music.apple.com/fr/album/mirza/1440761880?i=1440762441&uo=4";;;
"La Luz";"News of the universe";"Strange world";"2024";"SUB POP RECORDS";1714926037;1714926289;"https://music.apple.com/fr/album/strange-world/1729256794?i=1729256798&uo=4";"https://open.spotify.com/track/23CMw32Z7okZc5ChSkxjaQ";;
"Kutiman";"Open";"Believe in you (feat. Dekel)";"2022";"SIYAL MUSIC";1714926287;1714926481;;;;
"Michel Dintrich";"Immortels de la guitare";"Peer Gynt suite n°2 op 55 : Chanson de Solveig - arrangement pour guitare et orchestre à cordes";"1987";"ACCORD";1714926479;1714926630;;;;
"Djuna Lund & Paul Behnam";"Somni";"Somni";"2024";"AUTOPRODUCTION";1714926628;1714926834;;;;
"Mo Kolours";"Original flow";"Hold on";"2024";"WE RELEASE JAZZ RECORDS";1714926828;1714927044;;;"https://www.deezer.com/track/2545495441";
"Yaya Bey";"Evidence / Crying through my teeth";"The Evidence";"2023";"NINJA TUNE";1714927042;1714927199;;"https://open.spotify.com/track/4jeT6Z5VHsmx4EEG3kED7n";"https://www.deezer.com/track/2641721612";
"Glenn Fallows & Mark Treffel";"The globeflower masters / Vol. 2";"Orquesta es vedrà";"2022";"MR BONGO";1714927196;1714927451;"https://music.apple.com/fr/album/orquesta-es-vedr%C3%A0/1702854712?i=1702855488&uo=4";;;
"Sonny & Cher";"The Sonny & Cher collection";"I got you babe";"1965";"WEA INTERNATIONAL";1714927449;1714927636;"https://music.apple.com/fr/album/i-got-you-babe/40288222?i=40288233&uo=4";"https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa";"https://www.deezer.com/track/735788";
"Rail Band";"Mali 70 / Electric Mali";"Tamadiara";"1973";"DISCOGRAPH";1714927633;1714927874;;;;
"Karate Boogaloo";"Hold your horses";"Family song (sing-a-long)";"2024";"COLEMINE RECORDS";1714927873;1714927991;"https://music.apple.com/fr/album/family-song-sing-a-long/1726622737?i=1726623112&uo=4";"https://open.spotify.com/track/7tYJtIQiS24vauaY4s0JjG";;
"Canari";"Désamorceur";"Passagers";"2017";"LA SOUTERRAINE";1714927989;1714928224;"https://music.apple.com/fr/album/passagers/1208392749?i=1208392922&uo=4";"https://open.spotify.com/track/4h0quUE1PFqgvfVdmt0NbI";"https://www.deezer.com/track/142653866";
"Healing Potpourri";"Blanket of calm";"Moment alone";"2020";"RUN FOR COVER RECORDS";1714928223;1714928408;"https://music.apple.com/fr/album/moment-alone/1502639620?i=1502639633&uo=4";"https://open.spotify.com/track/4mJGeYYUXTV2LTbV8k4FHI";;
"Chico Hamilton";"Blue Note beach classics/Presented by José Padilla";"The Morning Side Of Love";"2012";"EMI";1714928472;1714928780;"https://music.apple.com/fr/album/the-morning-side-of-love/715987542?i=715987997&uo=4";"https://open.spotify.com/track/371Iv9F9PcqB4j0PoZDgo6";"https://www.deezer.com/track/602453832";
"GIL SCOTT HERON";"Spirits";"SPIRITS";"1994";"TVT REC.";1714928774;1714929241;;;;
"Idris Muhammad";"Power of soul";"The saddest thing";"1974";"CTI RECORDS";1714929239;1714929664;"https://music.apple.com/fr/album/the-saddest-thing/298170730?i=298171010&uo=4";"https://open.spotify.com/track/6Whm5YwYOvYFnzkG30RwYX";"https://www.deezer.com/track/859770";
"PRINCE BILLY MAHDI WRIGHT";"";"PRINCE BILLY MAHDI WRIGHT / SUMMER LOVE";"";"";1714929663;1714929936;;;;
"Benny Golson";"Free";"Sock cha";"1962";"CHESSMATES";1714929930;1714930351;;;;
"Horace Silver";"The cape verdean blues";"The cape verdean blues";"1965";"B NOTE";1714930350;1714930646;"https://music.apple.com/fr/album/the-cape-verdean-blues/724650103?i=724650151&uo=4";;;
"CARMEN McRAE AND DAVE BRUBECK";"";"CARMEN McRAE AND DAVE BRUBECK / TAKE FIVE";"";"";1714930647;1714930822;;;;
"Sambalanco Trio";"Brazilian beats";"Sam blues";"1964";"MUSIC BROS";1714930819;1714930949;;;;
"JORGE AUTUORI";"";"JORGE AUTUORI / AUTORIZANDO";"";"";1714930948;1714931047;;;;
"Milton Banana";"Brazilian beats";"Cidade vazia";"1999";"MUSIC BROS";1714931038;1714931208;;;;
"24 CARAT";"";"24 CARAT / CAFE BAHIA";"";"";1714931206;1714931565;;;;
"Peemai¨ & Gayam 16";"Gaga gundul";"Khonsawan";"2024";"COLLECTIF KOA / L ’AUTRE DISTRIBUTION";1714931560;1714931958;;;;
"ELVIS PRESLEY";"32 succes de musique de film";"FOLLOW THAT DREAM";"";"BMG";1714931956;1714932053;"https://music.apple.com/fr/album/follow-that-dream/217633715?i=217635495&uo=4";"https://open.spotify.com/track/0EkwlBGDj4h1UkVuWpSLK2";"https://www.deezer.com/track/2771921831";
"FRANKIE VALLI";"";"FRANKIE VALLI / SUNNY";"";"";1714932106;1714932287;;;;
"The Bony King Of Nowhere";"Eleonore";"Les Géants : Instrumental";"2011";"HELICOPTER";1714932285;1714932457;;;;
"Micah P. Hinson";"Micah P. Hinson and the gospel of progress";"Beneath the rose";"2014";"SKETCH";1714932522;1714932698;;"https://open.spotify.com/track/64aIYqSO1Dzlig7o8GtGp2";"https://www.deezer.com/track/84527995";
"Christophe Julien";"BOF / Le vilain";"Le vilain : Maniette";"2009";"STUDIOCANAL";1714932687;1714932749;;;;
"Daniel Johnston";"Lost and found";"A lonely song";"2006";"SKETCHBOOK";1714932748;1714932933;"https://music.apple.com/fr/album/a-lonely-song/1558591256?i=1558591541&uo=4";"https://open.spotify.com/track/0fFf4LgqPa0jn9bboTGtl9";"https://www.deezer.com/track/1276515902";
"PHILIPPE ROUECHE";"";"PHILIPPE ROUECHE / QUAND LA MER MONTE";"";"";1714932995;1714933144;;;;
"Jacob Bellens";"";"JACOB BELLENS / UNTOUCHABLE";"2016";"";1714933119;1714933147;;;;
"CHET BAKER";"";"CHET BAKER / SUMMERTIME BLUE";"";"";1714933144;1714933186;;;;
"Ben Sidran";"Rainmaker";"Victime de la mode";"2024";"BONSAI MUSIC";1714933371;1714933555;;"https://open.spotify.com/track/0uETPKxJL4R6OlModVgz7z";;
"Radu Lupu";"Schubert : Sonates pour piano D 959 D 787 et D 157";"Sonate n°1 pour piano en Mi Maj D 157 : 1. Allegro ma non troppo";"1971";"DECCA";1714933825;1714934155;;;;
"BASHUNG";"";"BASHUNG / OH GABY";"";"";1714933892;1714934246;;;;
"Bo/Atomik Circus";"Bof /Atomik circus";"La cupa Lucia";"2004";"BARCLAY";1714934015;1714934267;;;;
"Vanessa Paradis";"Bof /Atomik circus";"Ma pétroleuse";"2004";"BARCLAY";1714934321;1714934553;"https://music.apple.com/fr/album/ma-p%C3%A9troleuse-extrait-de-atomik-circus/1442816439?i=1442817320&uo=4";;;
"THE BONY KING OF NOWHERE";"";"THE BONY KING OF NOWHERE / IN THE MORNING";"2011";"";1714934552;1714934801;;;;
"O (OLIVIER MARGUERIT)";"";"OLIVIER MARGUERIT / NUIT DU 12";"2022";"";1714934797;1714934904;;;;
"CHEVEU";"";"CHEVEU / LOLA LANGUSTA";"2008";"";1714935119;1714935360;;;;
"ARNO";"RATATA";"LONESOME ZORRO";"";"";1714935444;1714935662;"https://music.apple.com/fr/album/lonesome-zorro/1231764976?i=1231764990&uo=4";"https://open.spotify.com/track/1hPiYqwAdRbYOve5w0jqiH";"https://www.deezer.com/track/355628281";
