"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Pond";"Stung !";"So lo";"2024";"SPINNING TOP RECORDS";1720033576;1720033801;;;"https://open.spotify.com/track/7LO8KfTNCTHdgl6BNCw3lg";
"Scone Cash Players";"Blast furnace !";"Bliss machine";"2018";"COLEMINE RECORDS";1720033797;1720034018;;;"https://open.spotify.com/track/2FmvSOjjw2Ho0pLv0lvm0N";
"Muddy Waters";"After the rain";"Screamin' and cryin'";"2011";"GET ON DOWN";1720034017;1720034318;;;;
"Cosmic Analog Ensemble";"Les grandes vacances (Bonus version)";"Une minuscule effervescence";"2024";"JAKARTA";1720034317;1720034490;;;"https://open.spotify.com/track/6WOI7ssmMjw0TzhhdRX71O";
"Nublues";"Dreams of a blues man";"Conversation Breakdown";"2004";"DIXIEFROG";1720034488;1720034711;;;"https://open.spotify.com/track/4Fcvw6g2RaxNLnanOeB9h4";
"Mikael Mani";"Guitar poetry";"Maturing backwards";"2024";"ACT PUBLISHING";1720034709;1720034862;"https://music.apple.com/fr/album/maturing-backwards/1727512064?i=1727512360&uo=4";"https://www.deezer.com/track/2633603622";"https://open.spotify.com/track/3el834y3iebIfgKbWnFEGU";
"Maria Del Mar Bonet";"Salmaia";"Leylim ley";"1995";"ARIOLA";1720034873;1720035107;;;"https://open.spotify.com/track/0UOeHQTupFraXGLjtNUweD";
"Aretha Franklin";"20 greatest hits";"Spanish Harlem";"1971";"ATLANTIC";1720035106;1720035315;;;;
"Breakout";"Folk Is Not A Four Letter Word";"Warm up my lips";"2005";"DELAY 68";1720035314;1720035559;;"https://www.deezer.com/track/1696003187";;
"Omar Khorshid";"Guitar el chark";"Ommil habiba";"2012";"SUBLIME FREQUENCIES";1720035553;1720035830;;"https://www.deezer.com/track/882069962";;
"Aaliyah";"I care 4 u";"More than a woman";"2002";"BLACKGROUND ENTERTAINMENT";1720035828;1720036056;;;"https://open.spotify.com/track/1v3pDQtNGDVTwFQ75IVKC2";"https://www.youtube.com/watch?v=pAbxS-6XsMY"
"Hugo Montenegro";"Moog power";"You showed me";"2011";"GET ON DOWN";1720036056;1720036212;;;;
"Lenparrot";"Sable";"Sable";"2024";"JOUR APRES JOUR APRES JOUR";1720036207;1720036409;;;"https://open.spotify.com/track/2FXkENaExkfkKCPaw11T3Y";
"De Phase";"Bonjour";"Night drive (feat. Dood) (instrumental)";"2023";"PLAISANCE RECORDS";1720036401;1720036575;;;;
"Rozi Plain";"Prize";"Help";"2023";"MEMPHIS INDUSTRIES";1720036570;1720036800;;;"https://open.spotify.com/track/473wMDSDKH9QZeJPC3mqde";
"Johannes Brecht";"New grass (feat. Pitou)";"New grass (feat. Pitou)";"2024";"CORE RECORDS";1720036799;1720037012;;;;
"Rmz";"Nice guys love you, vol. 3";"Low tide";"2021";"NICE GUYS RECORDS";1720037006;1720037249;;;"https://open.spotify.com/track/5aTMx6D4IKkerNRsmC9q95";
"Arjuna Oakes";"Motel";"Motel";"2024";"ALBERT'S FAVOURITES LTD.";1720037239;1720037443;"https://music.apple.com/fr/album/motel/1745305754?i=1745305831&uo=4";;"https://open.spotify.com/track/5qQ8iwK5eFTbHl7kj4ERXU";
"Le Couleur";"Concorde";"Oiseaux sauvages";"2020";"LISBON LUX RECORDS";1720037439;1720037584;;;"https://open.spotify.com/track/0nMpfxQxB7opNR5Xwge9YS";
"E. Bobby G.";"Giving you M.O.R.E.";"M.O.R.E.chestra";"2021";"PHC FILMS";1720037579;1720037733;;;"https://open.spotify.com/track/5gE6tgWOZxBlAwYiyv0F8j";
"Lena Chamamyan";"Chamamyan Lena/Hal asmar ellon";"Al rouzana";"";"INCOGNITO";1720037732;1720037910;;;;
"Sunshine Makers";"Sunshine makers";"Baby it’s yours (feat. Shad & Saveria)";"2024";"RECORDS RECORDS";1720037907;1720038134;;;;
"E.S.G.";"Ocean of funk";"Ocean of funk (feat. Marcus Bolden)";"1994";"SOSOUTH";1720038128;1720038331;;;;
"Saturne";"Saturne";"Nuage";"2015";"INLASSABLE DISQUE";1720038329;1720038480;;;"https://open.spotify.com/track/09g9WW0YewLOQkOQ5QFTpO";
"The Dining Rooms";"Songs to make love to";"No fun (feat. Daniel Richards)";"2024";"SCHEMA RECORDS";1720038479;1720038630;;;;
"Jose Feliciano";"Folky & Funky";"Satisfaction";"1970";"SONY";1720038630;1720038828;;;;
"Grand Union";"Folk funk & trippy troubadours / Vol. 2";"Morning Brings The Light";"2023";"RE WARM";1720038822;1720038984;;;"https://open.spotify.com/track/647tC7iF6P5hgTCQOI3EJ3";
"Wendy Rene";"After laughter comes tears";"Wondering (when my love is coming home)";"2012";"LIGHT IN THE ATTIC RECORDS";1720038983;1720039115;;;;
"Segun Bucknor";"Segun Bucknor";"The price of your love";"2017";"PMG";1720039110;1720039430;;;;
"Rene Aubry";"Invités sur la terre";"Sept guitares";"2001";"HOPI MESA";1720039425;1720039703;;;"https://open.spotify.com/track/5XixCMJmqNEhd2ywQtTADi";
"Georges Brassens";"Les copains d'abord - intégrale";"Le temps ne fait rien à l'affaire";"1961";"PHILIPS";1720039704;1720039832;;;;
"The Poppy Family";"A good thing lost 1968-1973";"Which way you goin', Billy?";"1996";"WHAT ARE RECORDS?";1720039831;1720040031;;;"https://open.spotify.com/track/6TtWuzlHNTvtnpO0pI83MU";
"Chinatsu Nakayama";"BOF / La Belladone de la tristesse";"TBSF";"1973";"FINDERS KEEPERS";1720040030;1720040236;;;;
