"Artist";"Album";"Song";"Year";"start";"end";"deezer";"spotify";"Label";"itunes"
"The Sextones";"Here I go again";"Here I go again";2023;1708834059;1708834204;;"https://open.spotify.com/track/1FjiF2YNz5swFCbU4rucHE";"RECORD KICKS";
"Breakbot";"Baby i'm yours (feat. Irfane)";"Baby I'm Yours (Feat. Irfane)";2010;1708834223;1708834422;;;"EDBANGERS";
"Sylvain Luc";"Doors in jazz";"Light my fire";2022;1708834420;1708834635;;;"WAGRAM MUSIC";
"Clora Bryant";"Gal with a horn";"Tea for two";1959;1708834634;1708834862;;;"MODE";
"Jeanne Moreau";"Succès et confidences";"Moi je préfère";1963;1708834861;1708834974;;;"CANETTI";
"Queen";"Jazz";"Dreamer's ball";1978;1708834973;1708835188;;;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";
"Nick Wheeldon's Demon Hosts";"Gift";"Hail' thunder";2022;1708835189;1708835414;;;"LE POP CLUB RECORDS / MAUVAISE FOI RECORDS";
"Bob Dylan";"Pat Garrett & Billy the kid";"Turkey chase";1973;1708835411;1708835618;;"https://open.spotify.com/track/7huqsHcUto3D3TDHPWtuYQ";;"https://music.apple.com/fr/album/turkey-chase/717157086?i=717157148&uo=4"
"P'tit Belliveau";"Un homme et son piano";"Demain";2022;1708835618;1708835833;;"https://open.spotify.com/track/1h5MPkAA20QEPUhtgxKlf8";"BONSOUND";
"Ana Frango Eletrico";"Me chama de gato que eu sou sua";"Coisa maluca";2023;1708835832;1708835920;;"https://open.spotify.com/track/2dGErYwjLnyxp7p2SV11hB";"MR BONGO";
"Manu Chao";"Clandestino";"Minha galera";1998;1708835919;1708836061;;"https://open.spotify.com/track/6P74cWuc5hPhCZB5yuSZsH";"VIRGIN";
"Romain Leleu";"Inspirations";"Chega De Saudade";2016;1708836068;1708836299;;"https://open.spotify.com/track/3lvOI1aXGkiNq0gSbYndTE";"APARTE";
"Dionne Warwick";"Compil./Bacharach Burt/The look of love";"I'll Never Fall In Love Again";1967;1708836298;1708836468;;;"MUSIC CLUB";
"Voyou";"Les royaumes minuscules";"Deux oiseaux";2023;1708836464;1708836717;;"https://open.spotify.com/track/2lyrwy5aDGCADq2wpdotC6";"SONY MUSIC";"https://music.apple.com/fr/album/deux-oiseaux/1656771718?i=1656771734&uo=4"
"Fred Wesley";"Wuda cuda shuda";"Smooth move";2003;1708836717;1708837117;;"https://open.spotify.com/track/2mD1nf1pBfzIFRr0G3khIQ";"HIP BOP";
"Alyson McNamara";"Let me sleep";"Shutting down";2021;1708837124;1708837355;;"https://open.spotify.com/track/4tur4aBBgfKIFulKusYDAP";"GHOST PEPPER";
"Blond Redhead";"Melody of certain damaged lemons";"Hated because of great qualities";2000;1708837351;1708837632;;;"TOUCH AND GO";
"The Kills";"God games";"La hex";2023;1708837626;1708837818;;"https://open.spotify.com/track/6RvzFg8Dx3ypOFZSgdd7Sk";"DOMINO RECORDINGS";
"Cykada";"Metamorphosis";"3301";2023;1708837822;1708838154;"https://www.deezer.com/track/2407990355";"https://open.spotify.com/track/4tw2QMrGKlUr9L1GvwCH0j";"ASTIGMATIC RECORDS";"https://music.apple.com/fr/album/3301/1702202788?i=1702203269&uo=4"
"Prince Waly";"Bo y z vol. 2";"MP5";2023;1708838148;1708838303;"https://www.deezer.com/track/2545076411";"https://open.spotify.com/track/5zoBEho5wplDn32xG4iIXU";"BO Y Z";"https://music.apple.com/fr/album/mp5/1716878017?i=1716878480&uo=4"
"Chancha Via Circuito";"El pavo real (feat. Meridian Brothers)";"El pavo real (feat. Meridian Brothers)";2022;1708838302;1708838508;"https://www.deezer.com/track/1924972567";;"WONDERWHEEL";"https://music.apple.com/fr/album/el-pavo-real-feat-meridian-brothers/1641874222?i=1641874223&uo=4"
"Baron Retif & Concepcion Perez";"Funk";"L'œil insulaire";2023;1708838503;1708838655;;"https://open.spotify.com/track/4nkrltPGn0cXNbDYke1AoO";"MOSTLA / MUSIQUE LARGE";"https://music.apple.com/fr/album/l%C5%93il-insulaire/1685950699?i=1685950723&uo=4"
"Madonna";"Celebration";"Everybody";1983;1708838663;1708838913;;;"WEA";
"Almir Ricardi";"Brazilian disco boogie sounds volume 2";"To parado na tua";1984;1708838910;1708839194;;"https://open.spotify.com/track/5LUjfo9lReS6zsPyesaJAV";"FAVORITE RECORDINGS";
"Musicism";"Caribbean disco boogie sounds";"Bermuda triangle";1977;1708839192;1708839385;"https://www.deezer.com/track/509739012";;"FAVORITE RECORDINGS";
"Soul Coughing";"Ruby vroom";"Is Chicago, is not Chicago";1994;1708839383;1708839610;;"https://open.spotify.com/track/6bGIYFVGKuCXxeFDL8cTRg";"SLASH";
"Red Hot Chili Peppers";"One hot minute";"Aeroplane";1995;1708839615;1708839896;;"https://open.spotify.com/track/0VLdJcQUsqHBBwqPp4CIKJ";"WB";
"Voilaaa";"On te l avait dit";"Pas bon (feat. Fouley Badiaga)";2015;1708839894;1708840263;;;"FAVORITE RECORDINGS";"https://music.apple.com/fr/album/pas-bon-feat-fouley-badiaga/1038396390?i=1038396649&uo=4"
"Kokoroko";"Could we be more";"Ewa Inu";2022;1708840261;1708840456;;"https://open.spotify.com/track/1NmAT5rTQdRLUQGfddJlvn";"BROWNSWOOD RECORDINGS";"https://music.apple.com/fr/album/ew%C3%A0-in%C3%BA/1614649802?i=1614650130&uo=4"
"Gabi Hartmann";"Gabi Hartmann";"Baby";2023;1708840453;1708840667;"https://www.deezer.com/track/2077643647";"https://open.spotify.com/track/7Lo9xvnSEyh1dodL2QS79u";"MASTERWORKS / SONY MUSIC ENTERTAINMENT";
"Feist";"Multitudes";"Hiding out in the open";2023;1708840665;1708840863;"https://www.deezer.com/track/2145064197";"https://open.spotify.com/track/6Q34tUtXLuWst5c63ddQ7N";"POLYDOR";
"Shannon Lay";"Geist";"July";2021;1708840862;1708841037;"https://www.deezer.com/track/1377676012";"https://open.spotify.com/track/7g4RNq4179sinQcWQrSM0N";"SUB POP RECORDS";
"Cat Stevens";"Tea for the tillerman";"Father & Son";1971;1708841031;1708841249;;;"ALLIANCE MEDIA";
"Isabelle Mayereau";"Hors-pistes";"Tequila bar";2009;1708841246;1708841400;"https://www.deezer.com/track/63118390";"https://open.spotify.com/track/48sg0GjSZStKPeh05cxyWQ";"CHANT DU MON";"https://music.apple.com/fr/album/tequila-bar/335569445?i=335569622&uo=4"
"Bobbie Gentry";"The best of the capitol years";"Rainmaker";1970;1708841399;1708841556;;"https://open.spotify.com/track/0YfiCTZT1oT5DyKvlJ0pCR";"CAPITOL";"https://music.apple.com/fr/album/rainmaker/714610225?i=714610397&uo=4"
"Monster Rally";"Mystery Cove";"Little Buddy";2013;1708841555;1708841743;;;"GOLF ROBOT RECORDS";
"Joe Bel";"The secret";"The secret";2024;1708841742;1708841898;;"https://open.spotify.com/track/6TMKIPp9c4VsWllNu4G09t";"LA RUCHE";"https://music.apple.com/fr/album/the-secret/1717627330?i=1717627336&uo=4"
"Bill Withers";"Still Bill";"Who is he (and what is he to you)?";1972;1708841897;1708842088;;"https://open.spotify.com/track/1KywyxekfDEp3Ym7YP7S25";"COLUMBIA";"https://music.apple.com/fr/album/who-is-he-and-what-is-he-to-you/685716369?i=685716381&uo=4"
"Professor Longhair";"New Orleans funk / Vol 3";"Big chief (part 2)";2013;1708842086;1708842233;"https://www.deezer.com/track/2195539867";;"SOUL JAZZ RECORDS";
"Philippe Giusiano";"La folle journée de Chopin";"Etude n°1 en Ut Maj op 10 n°1";2010;1708842231;1708842351;;;"MIRARE";
"Clea Vincent";"Tropi-Clea 2";"Bahia";2020;1708842347;1708842544;"https://www.deezer.com/track/892864762";"https://open.spotify.com/track/3URszLxGSmpX2dHXyLG0eD";"MIDNIGHT SPECIAL RECORD";"https://music.apple.com/fr/album/bahia/1501148582?i=1501148867&uo=4"
"Sergio Mendes Et Brasil 66";"Equinox";"Cinnamon and clove";1967;1708842538;1708842685;;;"A&M RECORDS";
"The Saxophones";"To be a cloud";"In my defense";2023;1708842681;1708842880;;"https://open.spotify.com/track/5nZKjnxkb7NxKeg6NTlkxY";"FULL TIME HOBBY";"https://music.apple.com/fr/album/in-my-defense/1666886382?i=1666887174&uo=4"
"Carmen Mac Rae";"Hunk of heaven";"Take five";1973;1708842878;1708843013;;;"JAZZMAN";
"Gheorghe Zamfir";"Bof / Le grand blond avec une chaussure noire & le retour du grand blond";"Sirba";1972;1708843010;1708843128;;"https://open.spotify.com/track/4g4DJINNUWXeUQ9ehBDEbA";"SONY";
"Shannon Lay";"Geist";"July";2021;1708843099;1708843128;"https://www.deezer.com/track/1377676012";"https://open.spotify.com/track/7g4RNq4179sinQcWQrSM0N";"SUB POP RECORDS";
"Michelle David & The True-Tones";"Brothers and sisters";"Brothers and sisters";2024;1708843128;1708844299;;"https://open.spotify.com/track/4srsFockSV7zNZjSbvbkML";"RECORD KICKS";"https://music.apple.com/fr/album/brothers-and-sisters/1730077355?i=1730077358&uo=4"
"Bingo Club";"Better lucky than beautiful";"Ma chèvre";2023;1708843128;1708843358;;"https://open.spotify.com/track/59fujCdfX32biQ55cIOd3s";"FUZO MUSIC";
"Dafuniks";"Searching (cd promo)";"Hello I love you";2011;1708843355;1708843542;"https://www.deezer.com/track/14762810";"https://open.spotify.com/track/1dfyDwi6SZXNh3YGFeGUJd";;
"The Doors";"The doors";"Love street";1968;1708843535;1708843775;;"https://open.spotify.com/track/5Q2Im8o4RthlAMkvUMYwGj";"ELEKTRA";"https://music.apple.com/fr/album/love-street/640047463?i=640047765&uo=4"
"Ella Raphael";"Tangled love";"Tangled love";2024;1708843699;1708843907;"https://www.deezer.com/track/2580637532";"https://open.spotify.com/track/153to89kHLDiVAQl7rQDJ9";"FIRE RECORDS";"https://music.apple.com/fr/album/tangled-love/1720738449?i=1720738675&uo=4"
"Marcel Bianchi";"Guitare Hawaienne";"Good bye Hawai";1965;1708843905;1708844081;;;"POLYDOR";
"Benny Sings";"Sunny afternoon";"Sunny afternoon";2020;1708844295;1708844462;;"https://open.spotify.com/track/0GoPfDYwRUpHtgbc9AHSSq";"STONES THROW RECORDS";"https://music.apple.com/fr/album/sunny-afternoon/1545059519?i=1545059522&uo=4"
"Bob Marley";"Kaya";"Is this love ?";1978;1708844460;1708844686;;;"ISLAND";
"Gabor Szabo";"Jazz raga";"Comin' back";2010;1708844684;1708844796;"https://www.deezer.com/track/103232620";"https://open.spotify.com/track/4MrkpdxgjZmgRvPEJXzVjr";"LIGHT IN THE ATTIC RECORDS";
"The Equals";"Baby come back";"Baby come back";1967;1708844794;1708844953;"https://www.deezer.com/track/66561382";;"HIT LABEL";
"Black Pumas";"Chronicles of a diamond";"More than a love song";2023;1708844952;1708845238;;"https://open.spotify.com/track/38D3zXvwHjwtGMUSO4mOmv";"PIAS";
"Manu Chao & Calypso Rose";"Clandestino feat.Calypso Rose";"Clandestino feat. Calypso Rose";2019;1708845235;1708845393;;;"BECAUSE";
"Watcha Clan";"Diaspora hi-fi -a mediterranean caravan";"Mean diaspora";2008;1708845393;1708845470;;;"PIRANHA";
"Iggy Pop";"BOF / Arizona dream";"In the deathcar";1993;1708845464;1708845770;;;"MERCURY";"https://music.apple.com/fr/album/in-the-deathcar/1442610964?i=1442611282&uo=4"
"Teme Tan";"Quand il est seul";"SAGE";2023;1708845767;1708845988;;"https://open.spotify.com/track/7DZ4JYcbfMZLDjPw19pqdg";"PIAS";"https://music.apple.com/fr/album/sage/1699856978?i=1699858550&uo=4"
"Talking Heads";"Once in a lifetime";"Warning sign";1978;1708845987;1708846221;"https://www.deezer.com/track/77386183";"https://open.spotify.com/track/4tqipsSOnLHM8UbH6kzvXO";"EMI";"https://music.apple.com/fr/album/warning-sign/124919592?i=124918571&uo=4"
"Jalen Ngonda";"Come around and love me";"So glad I found you";2023;1708846219;1708846414;;"https://open.spotify.com/track/4Egu9NllrAbdpNjW5ys8CM";"DAPTONE RECORDS / MODULOR";
"Marvin Gaye & Tammi Terrell";"The very best";"Ain't no mountain high enough";1967;1708846412;1708846557;;;"MOTOWN";"https://music.apple.com/fr/album/aint-no-mountain-high-enough/1469575128?i=1469575663&uo=4"
"Yellowstraps";"Tentacles";"Flowin (feat. Sam Wise)";2023;1708846556;1708846747;;;"HALIBLUE RECORDS";
"Pachyman";"Switched-on";"Lovers";2023;1708846747;1708846968;;"https://open.spotify.com/track/55wMU47fgfWPJyIVhHGcW8";"ATO RECORDS";"https://music.apple.com/fr/album/lovers/1693921971?i=1693921972&uo=4"
"Damon Albarn";"Everyday robots";"Mr Tembo";2014;1708846961;1708847185;"https://www.deezer.com/track/77698274";"https://open.spotify.com/track/5oLOgSExVFBBzYTXVblcwu";"PARLOPHONE";
"Paul Simon";"Paul Simon the complete albums collection : Paul Simon / CD 2";"Me and Julio down by the schoolyard";1971;1708847185;1708847346;;;"LEGACY RECORDS";"https://music.apple.com/fr/album/me-and-julio-down-by-the-schoolyard/571825?i=571759&uo=4"
"France Gall";"Long box : France gall";"Le temps de la rentrée";1965;1708847344;1708847442;;;;
"Martin Denny";"Forbidden island / Primitiva";"Port au prince";1958;1708847434;1708847560;"https://www.deezer.com/track/4011542";"https://open.spotify.com/track/3HB5uYfa0DNPJvmlnXaiCP";"SCAMP";
"Wysteria";"Alone With People";"Alone with people";2023;1708847558;1708847749;;;"ICI D'AILLEURS";
"Adi Oasis";"Lotus glow";"Get it got it";2023;1708847748;1708847992;"https://www.deezer.com/track/2071647197";"https://open.spotify.com/track/1PJZoofwSD9VJ4HmIFIJZy";"UNITY GROUP";"https://music.apple.com/fr/album/get-it-got-it-mixed/1693901733?i=1693901741&uo=4"
"The Last Poets";"The last poets";"Black thighs";2002;1708847991;1708848078;;;"SUNSPOTS";
"Janko Nilovic & The Soul Surfers";"Maze of sounds";"It never ends";2020;1708848078;1708848275;;;"BROC RECORDZ";
"Rhi";"The pale Queen";"Stone";2019;1708848273;1708848445;;"https://open.spotify.com/track/17vdINwmodF4qOBxabLxNI";"TRU THOUGHTS";
"Cloud";"Crawl (RXL Remix)";"Crawl";2020;1708848441;1708848629;;"https://open.spotify.com/track/2NYb5kzmgqADlD1iyt1MvL";"8PM";
"Charlie Musselwhite";"Stand back";"Christo redemptor";1967;1708848629;1708848826;;;"FNAC";
"John Lee Hooker";"Boom boom";"Boom boom";1992;1708848826;1708849082;"https://www.deezer.com/track/12291998";;"VIRGIN";
"Pokey Lafarge";"Rock bottom rhapsody";"Bluebird";2020;1708849078;1708849261;;"https://open.spotify.com/track/6hNU91GEPZJybdgq19BnjQ";"NEW WEST RECORDS";
"Bonnie Banane";"Franchement";"Franchement";2023;1708849259;1708849410;"https://www.deezer.com/track/2596471692";;"PECHE MIGNON - GRAND MUSIQUE MANAGEMENT";
"Dave Hamilton";"Detroit city grooves";"Pisces Pace";1970;1708849409;1708849552;"https://www.deezer.com/track/1734089757";;"ACE RECORDS";
"Wilson Pickett";"Rhythm & blues";"Mustang sally";1966;1708849551;1708849734;;;"WEA INTERNATIONAL";
"Bokani Dyer";"Radio sechaba";"Resonance of truth";2023;1708849734;1708850053;;"https://open.spotify.com/track/7h3F6LKVd9CXHrmVogT8u8";"BROWNSWOOD RECORDINGS";
"Fanga";"Sira ba";"Follow me";2009;1708850042;1708850322;;"https://open.spotify.com/track/2DpziKtXOOE3hEJAPLA2OP";"UNDERDOG";"https://music.apple.com/fr/album/follow-me/337184997?i=337185027&uo=4"
"Allah-Las";"BOF / Self discovery for social survival";"Blueberry jam";2019;1708850315;1708850506;;"https://open.spotify.com/track/0Q3r4JVuVQl4HocagDvYCl";"MEXICAN SUMMER";
"Cipierre";"Cerf-volant";"Avril";2020;1708850504;1708850694;;"https://open.spotify.com/track/3gKd4HmQxQC8PTG2rlWxOz";"LES DISQUES FRANCAIS";
"Molly Lewis";"On the lips";"Lounge lizard";2024;1708850692;1708850918;"https://www.deezer.com/track/2507483961";"https://open.spotify.com/track/56xlGPNxws5a7RiRf1D9i3";"JAGJAGUWAR";
"Non Identifie";"Hawaii";"Iolani";1988;1708850916;1708851080;;;"GOLD RECORDS";
"Elvis Presley";"The collection / Vol.2";"It's now or never";1960;1708851079;1708851274;"https://www.deezer.com/track/1055390";;"RCA";"https://music.apple.com/fr/album/its-now-or-never/217633715?i=217634574&uo=4"
"Say She She";"Silver";"Entry level";2023;1708851272;1708851467;;"https://open.spotify.com/track/1slu4E1ceT8dnhTDsqK372";"KARMA CHIEF RECORDS";
"Mos Def";"The new danger";"Sex, love & money";2004;1708851465;1708851708;;"https://open.spotify.com/track/7mxJamyEPCN6Q681oBjf6c";"GEFFEN RECORDS";
"Steven Bamidele";"Summing up";"Sitting in the dark";2023;1708851706;1708851982;;"https://open.spotify.com/track/0bDUn3fOqoZQ6vI2c8CAe1";"TRU THOUGHTS";
"Martin Frost";"Night passages";"Goodbye - arrangement pour clarinette, contrebasse et piano";2022;1708851983;1708852213;;;"SONY CLASSICAL";
"Chet Baker";"Chet Baker sings";"My buddy";1956;1708852206;1708852403;"https://www.deezer.com/track/97374856";;"PACIFIC JAZZ";"https://music.apple.com/fr/album/my-buddy/726137633?i=726138952&uo=4"
"Serge Gainsbourg";"N°4";"Black trombone";1963;1708852403;1708852573;;;"MERCURY";
"Tom Browne";"Tom Browne collection";"Funkin for jamaica";1980;1708852556;1708852947;;;"HIP BOP RECORDS";
"Kyle Hall & Steven Julien";"Crown";"Page 3 (Dam-Funk Re-Freak mix)";2023;1708852832;1708853211;;;"APRON RECORDS";
"Jonathan Wilson";"Eat the Worm";"Ol' father time";2023;1708853206;1708853422;"https://www.deezer.com/track/2298915045";"https://open.spotify.com/track/4vARp6wjrtG9uMSd6HdIhi";"BMG";
"Zero 7";"Simple things";"Destiny";2001;1708853421;1708853759;"https://www.deezer.com/track/440720352";"https://open.spotify.com/track/27ViQppP3LZPCJl2A0w9kp";;"https://music.apple.com/fr/album/destiny/394937350?i=394937398&uo=4"
"Beth Gibbons";"Floating on a moment (radio edit)";"Floating on a moment (radio edit)";2024;1708853758;1708854023;;;"DOMINO RECORDS";
"Thomas Newman";"Bof / American beauty";"Any other name";1999;1708854016;1708854261;;"https://open.spotify.com/track/1ARiWwY4saLts6MwFaaHJc";"DREAMWORKS RECORDS";"https://music.apple.com/fr/album/any-other-name/1437292897?i=1437293269&uo=4"
"Aretha Franklin";"Lady soul";"A natural woman";1968;1708854260;1708854421;;;"ATLANTIC";
"Luther Ingram";"Can you dig it : The 70's soul experience";"(If loving you is wrong) i don't want to be right";1972;1708854420;1708854624;;;"RHINOCEROS";
"Gaye Su Akyol";"Istikrarli hayal hakikattir";"Bir yarali kustum";2018;1708854622;1708854932;;"https://open.spotify.com/track/3NtXBZv7GIPG4OT611M2nC";"GLITTERBEAT";
"Derya Yildirim & Grup Simsek";"Dost 1";"The trip";2021;1708854930;1708854995;;"https://open.spotify.com/track/1AbHOoO3s1pS5LMSv5sZM7";"CATAPULT RECORDS / LES DISQUES BONGO JOE";
"Francoiz Breut";"Flux flou de la foule";"Mon dedans vs mon dehors";2021;1708854994;1708855286;"https://www.deezer.com/track/1327866902";"https://open.spotify.com/track/1ImBdOsgYt0u351FcTm0y3";"62TV RECORDS";"https://music.apple.com/fr/album/mon-dedans-vs-mon-dehors/1562001449?i=1562002562&uo=4"
"Sven Wunder";"Late again";"Take a break";2023;1708855285;1708855460;"https://www.deezer.com/track/2435667685";"https://open.spotify.com/track/0a3OncBmvyH15J54mxPgpz";"PIANO PIANO";"https://music.apple.com/fr/album/take-a-break/1695571905?i=1695572261&uo=4"
"Nancy Wilson";"Outta sight!";"Spinning wheel";1969;1708855455;1708855612;;"https://open.spotify.com/track/3i9xKYbacwBVLMMjie9gsl";"BLUE NOTE";
"Benny More Y Su Orq. Gigante";"The original latin beats";"Babarabatiri";;1708855611;1708855762;;;"MR BONGO";
"Unlisted Fanatic";"Ubuntu time / Black man";"Ubuntu time";2023;1708855761;1708855979;;"https://open.spotify.com/track/46WW1MgYGbJrhOu2Kt01l3";"DUBQUAKE RECORDS";
"Eugene McGuinness";"Chroma";"I drink your milkshake";2014;1708855977;1708856120;;"https://open.spotify.com/track/5SH71Rr0OQv3BgT45Vu1Vr";"DOMINO RECORDING CO LTD";
"Nicolas Godin";"BOF TV / Au service de la France";"Marie Jo";2018;1708856120;1708856217;;"https://open.spotify.com/track/0hj6LlttTZizCt3hbMC2cB";"BECAUSE";
"Kacimi";"Couronnes d'éphémères";"Chaine";2023;1708856216;1708856380;;"https://open.spotify.com/track/3qQYQ83OM1Uo4pGYd4PQ0t";"LE POP CLUB";
"The Kinks";"Face to face";"She's got everything";1966;1708856377;1708856565;;;"SANCTUARY RECORDS";
"Jerry Reed";"Country & Western hit parade - 1970";"Amos moses";1970;1708856563;1708856700;;"https://open.spotify.com/track/7zVZF0OgDJkFJohnlKwEpa";"BEAR FAMILY RECORDS";
"Anderson .Paak";"Malibu";"Put me thru";2016;1708856699;1708856860;;"https://open.spotify.com/track/70SjyVMzhmMeJQD8hOmIBp";"STEEL WOOL";
"Thes One";"Farewell, my friend.";"The bell tolls for people under the stairs";2023;1708856859;1708857053;;"https://open.spotify.com/track/142xvYH7HmzSvnyqdmNyOo";"PIECELOCK 70";"https://music.apple.com/fr/album/the-bell-tolls-for-people-under-the-stairs/1660926670?i=1660927296&uo=4"
"Isaac Delusion";"Lost and found";"50 50";2024;1708857051;1708857250;"https://www.deezer.com/track/2537598511";"https://open.spotify.com/track/4Pca3D30BC6r7a8GwrZdb9";"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";"https://music.apple.com/fr/album/50-50/1716058914?i=1716059432&uo=4"
"Tteo";"Lovexpress77";"A Bronx tale";2023;1708857248;1708857375;;"https://open.spotify.com/track/7uqcOB95LVS7A102piqQ9T";"SONAR KOLLEKTIV";
