"Artist";"Album";"Song";"Year";"start";"end";"spotify";"Label";"deezer";"itunes"
"The Majestics";"Boombox 45 (Early independent hip hop, electro and disco rap 1979-82)";"Class A";1982;1711784634;1711784860;;"SOUL JAZZ RECORDS";;
"Kokoroko";"Could we be more";"Tojo";2022;1711784860;1711785097;"https://open.spotify.com/track/5w3b1UFMnOqxeNSiJBLzqO";"BROWNSWOOD RECORDINGS";"https://www.deezer.com/track/1822656727";"https://music.apple.com/fr/album/tojo/1614649802?i=1614650117&uo=4"
"Manuel Laisne";"Caverne";"Raisonnable";2024;1711785095;1711785278;"https://open.spotify.com/track/6BmYuUGCFBqvZTTAa6Gdzu";"TFT LABEL";"https://www.deezer.com/track/2680384962";"https://music.apple.com/fr/album/raisonnable/1733503380?i=1733503669&uo=4"
"Blondie";"Against The Odds (1974 - 1982) / CD 2 : Blondie";"Rip her to shreads";1976;1711785276;1711785475;;"CAPITOL";;
"Allah-Las";"Allah-Las";"Catamaran";2012;1711785472;1711785684;"https://open.spotify.com/track/4H0KLsPpr5atperrHGfz3x";"THE OTHER HAND";"https://www.deezer.com/track/70036796";"https://music.apple.com/fr/album/catamaran/690010451?i=690010464&uo=4"
"Bill Frisell";"Four";"Blues from before";2022;1711785681;1711785906;"https://open.spotify.com/track/2XewqGEhxDqWXcCSBZocCC";"BLUE NOTE";;"https://music.apple.com/fr/album/blues-from-before/1647065596?i=1647066358&uo=4"
"Dr John & The Nite Trippers";"BOF/ Le livre de la jungle (The jungle book)";"Le livre de la jungle : The bare necessities";2016;1711785902;1711786115;;"WALT DISNEY RECORDS";;
"Lisa Leblanc";"Chiac disco";"La poudre aux yeux";2022;1711786115;1711786291;"https://open.spotify.com/track/3GyPDJrAlNSw9OIYC0NddQ";"BONSOUND";"https://www.deezer.com/track/1489750252";"https://music.apple.com/fr/album/la-poudre-aux-yeux/1585050177?i=1585050636&uo=4"
"Liam Bailey";"Zero grace";"Disorder starts at home";2024;1711786289;1711786506;"https://open.spotify.com/track/6qbQhkRuNoMXxZFnlbIJ7q";"BIG CROWN RECORDS";;
"Scoobert Doobert";"Moonlight beach";"Walk don't run (ventures cover)";2023;1711786504;1711786653;;"BEFORMER";;
"Gary Mcfarland";"Sketch for summer";"Can't get no satisfaction";2008;1711786651;1711786770;;"EL RECORDS";;
"Paper Tapes";"Child";"Off the map";2023;1711786764;1711786953;"https://open.spotify.com/track/2HeLIdsmm2hXuJ6akuBKgM";"GEOGRAPHIE";;"https://music.apple.com/fr/album/off-the-map/1712270627?i=1712270636&uo=4"
"Pawpaw Rod";"This Must Be A PawPaw Rod EP";"Love On You";2023;1711786953;1711787140;"https://open.spotify.com/track/0xV1udwDCxDnX2srYNxRpl";"GODMODE";;"https://music.apple.com/fr/album/love-on-you/1709563053?i=1709563065&uo=4"
"The Fearless Flyers";"The Fearless Flyers";"Barbara (Feat. Sandra Crouch)";2018;1711787138;1711787307;;"VULF RECORDS";;"https://music.apple.com/fr/album/barbara-feat-sandra-crouch/1451999272?i=1451999685&uo=4"
"Passion Coco";"Saga cosmica";"Blue hotel";2021;1711787305;1711787565;"https://open.spotify.com/track/0L8FOGtHKqdHHHTm1LcAn5";"MAAULA RECORDS";"https://www.deezer.com/track/1560533552";"https://music.apple.com/fr/album/blue-hotel/1596503149?i=1596503152&uo=4"
"Céu";"Um gosto de sol";"Bim bom";2021;1711787562;1711787711;"https://open.spotify.com/track/3QvOLujg3vlOXMH4sXecRo";"WARNER";"https://www.deezer.com/track/1542005902";"https://music.apple.com/fr/album/bim-bom/1593478931?i=1593479205&uo=4"
"Giacomo Bondi & The Apple Pies";"The double white - tribute hommage to the Beatles";"Mother nature son";2009;1711787708;1711787953;;"121 RECORDS";;
"Julian Bream";"Julian Bream : Joue Dowland";"Sir john smith's almaine";1986;1711787950;1711788092;;"RCA";"https://www.deezer.com/track/70023682";
"Marion Rampal";"Tissé";"L'ile aux chants mélés";2022;1711788087;1711788285;"https://open.spotify.com/track/0GuZ1hp5kFEoywOk91ULYJ";"LES RIVIERES SOUTERRAINES -L'AUTRE DISTRIBUTION";;"https://music.apple.com/fr/album/l%C3%AEle-aux-chants-m%C3%AAl%C3%A9s/1600501166?i=1600501592&uo=4"
"Karen Lano";"My name is hope webster";"The clearing";2009;1711788282;1711788576;;"BEE JAZZ";;
"Tracy Chapman";"Collection";"Crossroads";1989;1711788574;1711788824;"https://open.spotify.com/track/4rxamav7i2lJexbuAxcvfe";"ELEKTRA";;"https://music.apple.com/fr/album/crossroads/731530081?i=731530655&uo=4"
"Valparaiso";"Broken homeland";"Valpariso (feat. John Parish & Christine Ott)";2017;1711788823;1711789042;;"ZAMORA / PIAS";;"https://music.apple.com/fr/album/valpariso-feat-john-parish-christine-ott/1271214506?i=1271214581&uo=4"
"The Beach Boys";"The smile sessions";"Vega-tables";2011;1711789040;1711789266;"https://open.spotify.com/track/4lLw6YNzpJrnEW7ZFvJwhs";"CAPITOL";;
"Eric Bibb";"Ridin'";"Hold the line (feat. Russell Malone)";2023;1711789263;1711789470;;"DIXIEFROG REORDS";;"https://music.apple.com/fr/album/hold-the-line-feat-russell-malone/1673417638?i=1673421713&uo=4"
"Bloom Bat";"Until it falls";"Until it falls";2023;1711789468;1711789672;"https://open.spotify.com/track/3pTJ1hIymKI23A0Q4GASsW";"AUTOPRODUCTION";;"https://music.apple.com/fr/album/until-it-falls/1680031733?i=1680031743&uo=4"
"Roger Renaud";"French rare groove : Rare funky songs from france";"Turn me on";2022;1711789669;1711789905;"https://open.spotify.com/track/1DhOzEiV421ThJMZPOh05s";"WAGRAM MUSIC";"https://www.deezer.com/track/1790062667";
"Bettye Lavette";"Dirty laundry";"What condition my condition is in";1969;1711789903;1711790057;;"TRIKONT";;
"Joe Cocker";"Organic";"High lonesome blue";1996;1711790057;1711790307;"https://open.spotify.com/track/4qKgIdRF9Mriot2rom5qFO";"CAPITOL";"https://www.deezer.com/track/14601063";"https://music.apple.com/fr/album/high-lonesome-blue/703032868?i=703035041&uo=4"
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"Tall man little horse";2024;1711790303;1711790473;;"ARTWORK RECORDS / PIAS";;
"Herbie Mann";"Herbie Mann Brazil bossa nova & blues";"Copacabana";1962;1711790471;1711790884;"https://open.spotify.com/track/22YQpHMyMDGk6zUsSYYkru";"FRESH SOUND RECORDS";"https://www.deezer.com/track/616985762";"https://music.apple.com/fr/album/copacabana/534191034?i=534191520&uo=4"
"Ane Brun";"It all starts with one";"One";2011;1711790879;1711791075;"https://open.spotify.com/track/6Oz2a3Al3Xaz6SrKqF893I";"BALLOON";;"https://music.apple.com/fr/album/one/1442775447?i=1442777289&uo=4"
"Thierry Stremler";"Hôtel";"Soir de gala";2023;1711791072;1711791239;"https://open.spotify.com/track/4J81zwexJnqmtwx1GoD3oT";"AUTOPRODUCTION";;"https://music.apple.com/fr/album/soir-de-gala/1690323563?i=1690323579&uo=4"
"Norah Jones";"Visions";"On my way";2024;1711791234;1711791460;"https://open.spotify.com/track/4tP6yjQ57z2aMYgUFQHNyG";"BLUE NOTE";;"https://music.apple.com/fr/album/on-my-way/1725041334?i=1725041529&uo=4"
"Woods";"Between the past / White winter melody";"White Winter Melody";2023;1711791460;1711791732;"https://open.spotify.com/track/5Jqat3tDXOkCYxpRQZE0um";"WOODSIST";;"https://music.apple.com/fr/album/white-winter-melody/1687512075?i=1687512321&uo=4"
"The Blind Boys Of Alabama";"Echoes of the South";"Keep on pushin'";2023;1711791730;1711791935;"https://open.spotify.com/track/0hP6gHyuVyqz3Keelmq9b7";"SINGLE LOCK RECORDS (ACQUISITION)";;"https://music.apple.com/fr/album/keep-on-pushin/1687564966?i=1687565490&uo=4"
"Donna Summer";"The very best of";"Could it be magic";1976;1711791933;1711792167;"https://open.spotify.com/track/2MdGWAiYLmGbetrSBANcoD";;;"https://music.apple.com/fr/album/could-it-be-magic/1423294935?i=1423294938&uo=4"
"The Cat Empire";"Stolen diamonds";"Sola";2019;1711792164;1711792361;"https://open.spotify.com/track/62nj5TVDlJZsvgr61JvC37";"TWO SHOES RECORDS";"https://www.deezer.com/track/590098722";
"Arif Mirbaghi";"Gestures of light";"Smoke follows beauty";2023;1711792361;1711792480;"https://open.spotify.com/track/3IdPoNCMlpMM07Mg2HzlOZ";"QAME FERAQ";;
"Metronomy";"The english riviera";"Everything goes my way";2011;1711792474;1711792682;"https://open.spotify.com/track/67wcAJeaNwGm0fcB4HzzYm";"BECAUSE";;"https://music.apple.com/fr/album/everything-goes-my-way/425214849?i=425214866&uo=4"
"Camelia Jordana";"Camelia Jordana";"La vie en solitaire";2010;1711792681;1711792842;"https://open.spotify.com/track/6t0wsLXoetHHi5oGBYydpT";"SONY MUSIC";;"https://music.apple.com/fr/album/la-vie-en-solitaire/360806084?i=360806198&uo=4"
"3MA";"Anarouz";"Samedi glace";2017;1711792840;1711792981;"https://open.spotify.com/track/45eb3pr0mrOL0ReJW3pkTF";"MAD MINUTE MUSIC";;
"Johnny Mathis";"Sings / CD 10";"Saturday sunshine";1967;1711792979;1711793134;"https://open.spotify.com/track/3luQ4gSJ2b7TJQHZkYJBjg";"SONY MUSIC";"https://www.deezer.com/track/600817892";"https://music.apple.com/fr/album/saturday-sunshine/1445814580?i=1445814680&uo=4"
"Son Imaginario";"Som Imaginario";"Sabado";1970;1711793133;1711793294;;"REV-OLA";;
"Nick Drake";"Five leaves left";"Saturday sun";1970;1711793292;1711793534;;"ISLAND";"https://www.deezer.com/track/2283003";
"Brad Mehldau";"The art of the trio : Songs / Vol. 3";"River man";1998;1711793532;1711793814;"https://open.spotify.com/track/5FiSo7E1IvpBeowZxMk9UI";"NONESUCH";;
"Cleo Sol";"Mother";"Know that you are loved";2021;1711793809;1711794011;"https://open.spotify.com/track/174yp4XX5F3HGX82Lj2JBB";"FOREVER LIVING ORIGINALS";;"https://music.apple.com/fr/album/know-that-you-are-loved/1580896128?i=1580896542&uo=4"
"Brittany Davis";"Image issues";"Never";2024;1711794009;1711794234;"https://open.spotify.com/track/0KDUvBAhTb9pO6dsjTdCzC";"LOOSEGROOVE RECORDS";"https://www.deezer.com/track/2537983711";
"Gabriel Garzon Montano";"Jardín (Instrumentals)";"Fruitflies (Instrumental)";2017;1711794234;1711794561;;"STONES THROW RECORDS";;
"Gonzales";"Monsieur Gainsbourg revisited";"Boomerang 2005 (comme un boomerang)";2006;1711794560;1711794762;;"BARCLAY";;
"Flavien Berger";"Contrebande 02 : Le disque de l'été";"Beta";2024;1711794760;1711794946;"https://open.spotify.com/track/6OMUUV38OFHUM0RPRF9SGs";"PAN EUROPEAN RECORDING / VIBRANCE";;
"Blue Safari";"The bluegrass tribute to air";"Alpha beta gaga";2004;1711794943;1711795249;;"CMH RECORDS";;
"Beck";"Modern guilt";"Gamma ray";2008;1711795247;1711795423;"https://open.spotify.com/track/2iWfZFAF8BCi0CY4NyuP8D";"XL";;"https://music.apple.com/fr/album/gamma-ray/1380537194?i=1380537220&uo=4"
"Louis Garrel";"Bof / Les chansons d'amour";"Delta charlie delta";2007;1711795422;1711795606;;"NAIVE RECORDS";"https://www.deezer.com/track/68174843";"https://music.apple.com/fr/album/delta-charlie-delta/1442621342?i=1442622066&uo=4"
"Ben Webster";"The warm moods/Ben Webster with strings";"The Sweetheart Of Sigma Chi";1960;1711795603;1711795746;"https://open.spotify.com/track/17GEJbJuW8SnSbeKfSEYhj";"DISCOVERY";;"https://music.apple.com/fr/album/the-sweetheart-of-sigma-chi/575333757?i=575333825&uo=4"
"The Platters";"Magic touch (the) 1954-1956";"The great pretender";1956;1711795745;1711795902;;"MERCURY";;
"Swingle Singers";"A cappella Amadeus";"Cosi fan tutte : Soave sia il vento (Acte I) trio fiordiligi dorabella donalfonso";1991;1711795902;1711796076;;"VIRGIN";;
"Anna Butterss";"Activities";"Doo Wop";2022;1711796076;1711796242;"https://open.spotify.com/track/5762u0ONzL6KciLE25E4ET";"COLORFIELD";"https://www.deezer.com/track/1753766567";"https://music.apple.com/fr/album/doo-wop/1710259307?i=1710259312&uo=4"
