"Artist";"Album";"Song";"Year";"start";"end";"itunes";"Label";"deezer";"spotify"
"Charles Watson";"Figure skater";"Figure skater";2022;1712073812;1712074005;"https://music.apple.com/fr/album/figure-skater/1707000317?i=1707000324&uo=4";"MOSHI MOSHI RECORDS";;"https://open.spotify.com/track/5dXgisfzss1aeyngnQaZMo"
"Anna Karina";"Pop a Paris - psyche-rock et minijupes";"Roller girl";1967;1712074002;1712074144;"https://music.apple.com/fr/album/roller-girl/1463837704?i=1463838253&uo=4";"PHILIPS";;"https://open.spotify.com/track/7fxZpBlviGbIQ3MdWr2Nch"
"Famili Four";"Psychemagik presents ritual chants";"En häst utan namn";1972;1712074143;1712074353;;"ESKIMO RECORDINGS";;
"Dana And Alden";"Quiet music for young people";"Baja";2023;1712074350;1712074553;;"DANA AND ALDEN";"https://www.deezer.com/track/2524229751";"https://open.spotify.com/track/2fhUopujutl3xuo75YTRk5"
"Say She She";"Silver";"Questions";2023;1712074550;1712074786;"https://music.apple.com/fr/album/questions/1695756465?i=1695757066&uo=4";"KARMA CHIEF RECORDS";"https://www.deezer.com/track/2353834405";"https://open.spotify.com/track/2g37Oi6GLhqoa2Z2NjrUe7"
"Marvin Gaye";"The very best of Marvin Gaye";"That's the way love is";1969;1712074783;1712075001;"https://music.apple.com/fr/album/thats-the-way-love-is-stereo/1434917803?i=1434918227&uo=4";"MOTOWN";"https://www.deezer.com/track/588246542";"https://open.spotify.com/track/51ePCpO1xUeHYhvgT67YPX"
"The Shadows";"The e.p. collection";"Mustang";1961;1712075000;1712075158;;"SEE FOR MILE";"https://www.deezer.com/track/3102739";
"Mustang";"Memento mori";"Loyal et honnête";2021;1712075158;1712075416;"https://music.apple.com/fr/album/loyal-et-honn%C3%AAte/1552690911?i=1552690912&uo=4";"CLOSE HARMONIE";"https://www.deezer.com/track/1236581432";"https://open.spotify.com/track/1cR470mwySva54Rys43VBb"
"Bolis Pupul";"Letter to yu";"Completely half";2023;1712075413;1712075670;;"DEEWEE";"https://www.deezer.com/track/2497950731";"https://open.spotify.com/track/2DaLtBGbyi8CSUXcKUxPTs"
"Kate Bush";"The Dreaming";"Suspended in gaffa";1982;1712075665;1712075894;"https://music.apple.com/fr/album/suspended-in-gaffa/1675374915?i=1675375193&uo=4";"FISH PEOPLE";;"https://open.spotify.com/track/0mwoBaPKOP3u35UINe1oOA"
"Maurizio Pollini";"Ludwig van Beethoven : Sonates op 10 et 13";"Sonate pour piano n°8 en ut min op 13 Pathétique : Adagio cantabile";2003;1712075891;1712076168;;"DGG (DEUTSCHE GRAMMOPHON)";;
"The Moldy Peaches";"Juno (bof) : Anyone else but you";"Anyone Else But You (Original Version)";2008;1712076163;1712076339;;"WEA";;
"Adrianne Lenker";"Bright future";"Vampire empire";2024;1712076338;1712076598;"https://music.apple.com/fr/album/vampire-empire/1721534468?i=1721534701&uo=4";"4AD";"https://www.deezer.com/track/2682537082";"https://open.spotify.com/track/2DSxUFEL5v1YT8CwYzhWyf"
"Ha The Unclear";"A Kingdom in a cul-de-sac";"C'est comme ça";2024;1712076564;1712076787;;"THINK ZIK";;
"The Durutti Column";"Hommage à Marguerite Duras";"The sea wall";1987;1712076783;1712076874;;"INTERPHON";;
"Jahill";"Miss & Mister Rub-a-dub";"Miss & Mister Rub-a-dub";2024;1712076867;1712077078;;"EVIDENCE MUSIC";;"https://open.spotify.com/track/2jbvUshgkChVbPF8kAIsi3"
"Benny Sings";"Beat tape II";"Beat 100 (feat. Cola Boyy, Mocky & Marc Rebillet)";2021;1712077075;1712077227;;"STONES THROW";;
"The Detroit Experiment";"Detroit experiment/Detroit experiment";"Space odyssey";2003;1712077292;1712077617;"https://music.apple.com/fr/album/space-odyssey/14065811?i=14065780&uo=4";"RYKO";;
"Sly5thAve";"Liberation";"Water suite (thirst)";2024;1712077615;1712077788;"https://music.apple.com/fr/album/water-suite-thirst/1718114669?i=1718114670&uo=4";"TRU THOUGHTS";"https://www.deezer.com/track/2556802112";"https://open.spotify.com/track/23IX5PLViy9878yeynlDa2"
"Sly5thAve";"Liberation";"Water suite (drown)";2024;1712077788;1712077983;"https://music.apple.com/fr/album/water-suite-drown/1718114669?i=1718114671&uo=4";"TRU THOUGHTS";"https://www.deezer.com/track/2556802122";"https://open.spotify.com/track/7wyFKySuGTgiVzoehWSB45"
"Peter Somuah";"Letter to the universe";"Reincarnation (feat. Gyedu Blay Ambolley)";2023;1712077983;1712078160;;"ACT MUSIC & VISION";;
"Johnny Hodges";"Johnny Hodges with Billy Strayhorn and the orchestra";"Day Dream";1962;1712078160;1712078395;;"VERVE";"https://www.deezer.com/track/681102752";
"Abbey Lincoln";"You gotta pay the band";"Bird Alone";1991;1712078393;1712078903;"https://music.apple.com/fr/album/bird-alone-1991-you-gotta-pay-the-band-version/1564795777?i=1564796639&uo=4";"VERVE";;
"Girma Yifrashewa";"Love & peace";"Elilta";2014;1712078901;1712079303;"https://music.apple.com/fr/album/elilta/1320216426?i=1320217140&uo=4";"UNSEEN WORLDS";;"https://open.spotify.com/track/1InipAVwhUdY0AakF3tASA"
"Sophye Soliveau";"Initiation";"Breathe";2024;1712079302;1712079491;"https://music.apple.com/fr/album/breathe/1733715119?i=1733715746&uo=4";"AUTOPRODUCTION";;"https://open.spotify.com/track/3CxH9Yindl8kUfc16qFPN1"
"Dorothy Ashby";"Feeling good";"Essence of sapphire";1965;1712079489;1712079680;"https://music.apple.com/fr/album/essence-of-sapphire-mixed/1587429851?i=1587429868&uo=4";"CHARD";"https://www.deezer.com/track/522756962";
"Joyce";"Visions of dawn";"Jardim dos deuses";1976;1712079680;1712080014;;"FAR OUT RECORDINGS";;
"Sun Atlas";"Message from the snakes";"Message from the snakes";2024;1712080009;1712080249;;"MOCAMBO RECORDS";;"https://open.spotify.com/track/5lmiqj219nX3mr5qvs5BvU"
"Janick Martin Trio";"Sông song";"Epidemic dance";2024;1712080248;1712080640;"https://music.apple.com/fr/album/epidemic-dance/1730600953?i=1730601169&uo=4";"ARFOLK";"https://www.deezer.com/track/2659815432";"https://open.spotify.com/track/7iJRbu944z8MSeJua0AuWJ"
"Reggie Moore";"This is mainstream";"Mother McCree";1972;1712080640;1712080816;;"WE WANT SOUNDS";;
"Shriekback";"Nine o'clock drop";"My spine (Is the bassline)";1982;1712080816;1712081053;;"NUPHONIC";;
"Edoardo Florio Di Grazia";"Chiedo scusa";"Chiedo scusa";2024;1712081051;1712081226;"https://music.apple.com/fr/album/chiedo-scusa/1711430469?i=1711430919&uo=4";"COMET RECORDS";;"https://open.spotify.com/track/06tI2ffUeOqOBbmg7nA425"
"Dandara";"Dandara & Chakib";"Se Ve (feat. G. Zamora)";2024;1712081224;1712081455;;"WONDERWHEEL RECORDINGS";;
"Creedence Clearwater Revival";"Cosmo's factory";"Run through the jungle";1970;1712081277;1712081446;"https://music.apple.com/fr/album/run-through-the-jungle/1440925821?i=1440926816&uo=4";"FANTASY";;"https://open.spotify.com/track/5VfgDw3oOzcNoszDwkLQhH"
"Itzhak Ventura";"Doosh doosh";"Doosh doosh";2024;1712081455;1712081671;"https://music.apple.com/fr/album/doosh-doosh/1727584408?i=1727584413&uo=4";"RAW TAPES";"https://www.deezer.com/track/2635697892";"https://open.spotify.com/track/6R8AwUkSPLY8SfFyTU8Q87"
"Bellboy";"Les créatures de l'univers";"Les créatures de l'univers";2023;1712081668;1712081989;"https://music.apple.com/fr/album/les-cr%C3%A9atures-de-lunivers/1703808379?i=1703808385&uo=4";"MICROQLIMA";;"https://open.spotify.com/track/7wbH0uQKxxX4AD1KvBiC4y"
"Lee Fields & The Expressions";"Special night";"Never be another you";2016;1712081980;1712082240;"https://music.apple.com/fr/album/never-be-another-you/1472449794?i=1472450074&uo=4";"BIG CROWN RECORDS";;"https://open.spotify.com/track/25z7NYgTEt6MiA5qExNSH2"
"Ann Peebles";"Tear your playhouse down";"I Can't Stand The Rain";1973;1712082237;1712082387;;"HI RECORDS";"https://www.deezer.com/track/136371188";
"Cochemea";"Vol. 2 : Baca sewa";"Chito's song";2021;1712082384;1712082684;"https://music.apple.com/fr/album/chitos-song/1565049647?i=1565049651&uo=4";"DAPTONE RECORDS";;"https://open.spotify.com/track/4A61gZNrkkkHknRjtFESxr"
"mui zyu";"Nothing or something to die for";"Sparky (feat. Lei, E)";2024;1712082681;1712082854;;"FATHER/DAUGHTER RECORDS";;
"Deep Purple";"Machine Head";"Lazy";1972;1712082849;1712083288;"https://music.apple.com/fr/album/lazy-remastered/1440787519?i=1440787913&uo=4";"EMI";;"https://open.spotify.com/track/0ZAPlh9j5ixbKfaMFMN0be"
"Marvin Pontiac";"The legendary Marvin Pontiac greatest hits";"I'm a doggy";1999;1712083286;1712083495;;"STRANGE & BEAUTIFUL MUSIC";"https://www.deezer.com/track/11334295";
"Daniel Darc";"Le meilleur de Daniel Darc";"Aimer à nouveau";1988;1712083492;1712083637;;"PIAS";;"https://open.spotify.com/track/22YyRrY0OEJLpXAiqPoqYG"
"Tour-Maubourg & Ismael Ndir";"Opening theme";"Opening theme";2024;1712083635;1712083909;;"PONT NEUF RECORDS";;
"Msaki x Tubatsi";"Imini yesithembiso";"Imini Yesithembiso";2024;1712083905;1712084121;;"NO FORMAT!";;
"Bob Marley & The Wailers";"Natty dread";"Revolution";1974;1712084119;1712084377;"https://music.apple.com/fr/album/revolution/1440861483?i=1440861542&uo=4";"ISLAND";"https://www.deezer.com/track/1583155";"https://open.spotify.com/track/6ov9jUFP4JzxrCoOk2tpzT"
"The Roots";"Phrenology";"The seed (2.0)";2002;1712084374;1712084643;;"MCA";"https://www.deezer.com/track/1140883672";"https://open.spotify.com/track/6HxweNytuEQdmGeVtZPZz3"
"Vincent Perrot";"French kiss in London";"Tout tout";2017;1712084639;1712084852;"https://music.apple.com/fr/album/tout-tout/1220474917?i=1220475214&uo=4";"JUSTEMENT MUSIC";"https://www.deezer.com/track/145282048";"https://open.spotify.com/track/2dP1TjIYr3Q1wXTV4WI21y"
"Jean Luc Fonck";"Les chansons du 8/9 / Vol. 6";"Cake me with you";2024;1712084847;1712084973;;"T4A RECORDS";;
"Cee Lo Green";"Is the soul machine";"The art of noise";2004;1712084970;1712085195;;"WAGRAM MUSIC (DISTRIBUTEUR)";;
"Onipa";"Off the grid";"Ayo";2023;1712085193;1712085404;"https://music.apple.com/fr/album/ayo/1684966179?i=1684968093&uo=4";"REAL WORLD RECORDS";;"https://open.spotify.com/track/1vwpd4LRBlfHomLfZ7MT47"
"The Peppers";"Compilation : Ok Chicago";"Do it, do it";1974;1712085402;1712085572;;"SIROCCO";;
"Christophe";"Christophe : le beau bizarre - intégrale / CD 10 - 11: Etc. V1 & V2";"Le beau bizarre (feat. Arthur Teboul)";2021;1712085564;1712085767;;"BMG / UNIVERSAL";;
"Maitrise De Paris";"Gabriel Faure : Requiem et cantique de Jean racine";"Requiem op 48 : In paradisum";2008;1712085764;1712085962;;"NAIVE";;
"Aaron Rimbui";"Deeper";"Nani nani (feat. Eric Wainaina & Kato Change)";2016;1712085945;1712086280;"https://music.apple.com/fr/album/nani-nani-feat-eric-wainaina-kato-change/1076996240?i=1076996246&uo=4";"INGOMA PUBLISHING LTD";"https://www.deezer.com/track/1863706857";"https://open.spotify.com/track/5HKZ8qmv0WQLRr0UlHK68w"
"Myriam Alter";"Where is there";"Was it there";2007;1712086274;1712086549;"https://music.apple.com/fr/album/was-it-there/266802468?i=266802502&uo=4";"ENJA";"https://www.deezer.com/track/60878999";"https://open.spotify.com/track/12S4tNsnCP2j1cnpZx3cCL"
"Helado Negro";"Phasor";"Best for you and me";2024;1712086544;1712086729;"https://music.apple.com/fr/album/best-for-you-and-me/1708555076?i=1708555190&uo=4";"4AD";"https://www.deezer.com/track/2593001132";"https://open.spotify.com/track/6AwnFyD3ipazsvlgasiIMd"
"Kana Tnt";"Thai funk";"Kod hang kam";1983;1712086725;1712086932;;"LIGHT IN THE ATTIC RECORDS";;
"Alaska Y Los Pegamoides";"Grandes exitos";"Bailando";1982;1712086930;1712087233;"https://music.apple.com/fr/album/bailando/1231167865?i=1231167952&uo=4";"HISPA VOX";"https://www.deezer.com/track/3370761";"https://open.spotify.com/track/46JiLlJ4r7Hhsu6TY7dCSf"
"Kat Eaton";"Talk to me";"Barricade";2021;1712087231;1712087429;;"REASON & RHYME";;"https://open.spotify.com/track/2lNisSDApfwAwJowVt5zG0"
"Creedence Clearwater Revival";"Cosmo's factory";"Run through the jungle";1970;1712087391;1712088173;"https://music.apple.com/fr/album/run-through-the-jungle/1440925821?i=1440926816&uo=4";"FANTASY";;"https://open.spotify.com/track/5VfgDw3oOzcNoszDwkLQhH"
"Paikan";"In a circle";"Emma and Brett at the wedding";2023;1712087425;1712087712;"https://music.apple.com/fr/album/emma-and-brett-at-the-wedding/1672845536?i=1672845543&uo=4";"Gondawa";;"https://open.spotify.com/track/4UiXlGkEOCpOKYICVJNogc"
"Roberto Cicogna";"Saluti da parì";"Via Cappuccio";2024;1712087708;1712087843;"https://music.apple.com/fr/album/via-cappuccio/1722292899?i=1722293540&uo=4";"AAKI PUBLISHING";;"https://open.spotify.com/track/4vMJpi5y5LAHQmCqGhzxko"
"Marie et les Garçons";"Nos années punk / 1977-1980";"Re-bop";1978;1712087841;1712088001;;"CAPITOL";;
"Yma Sumac";"Voice of the xtabay";"Ataypura (high Andes)";1951;1712088167;1712088345;;"CAPI";"https://www.deezer.com/track/2207697437";
"Guess What";"Coco María presents club coco ¡AHORA! : The latin sound of now";"Stickle bricks";2023;1712088342;1712088446;"https://music.apple.com/fr/album/stickle-bricks/1692195289?i=1692195298&uo=4";"BONGO JOE";;"https://open.spotify.com/track/6hnlFfEnuZHV7rHggpBy82"
"Knower";"Knower forever";"Ride that dolphin";2023;1712088445;1712088652;;"AUTOPRODUCTION";"https://www.deezer.com/track/2427779935";"https://open.spotify.com/track/2dPjzW2SYPTZP0lKnlgwsn"
"Hackney Colliery Band";"Collaborations / Vol. 1";"Why yellow";2019;1712088648;1712088790;;"VEKI RECORDS";"https://www.deezer.com/track/663160532";"https://open.spotify.com/track/4qaT5N5HXuiLRGQ40vBk8I"
"Moses Boyd";"Displaced Diaspora";"Rye lane shuffle";2018;1712088791;1712089047;"https://music.apple.com/fr/album/rye-lane-shuffle/1419676997?i=1419677060&uo=4";;"https://www.deezer.com/track/115928056";"https://open.spotify.com/track/5DQgaLM9pBnhGzVjDr9IKC"
"Alain Bashung";"L'imprudence";"Jamais d'autre que toi";2002;1712089032;1712089146;"https://music.apple.com/fr/album/jamais-dautre-que-toi/1443035553?i=1443037924&uo=4";"BARCLAY";;"https://open.spotify.com/track/2IgJ44Lqnxw8uTOtUQoaq4"
"Queen";"A night at the opera";"Bohemian rhapsody";1974;1712089138;1712089483;"https://music.apple.com/fr/album/bohemian-rhapsody/1435374593?i=1435375007&uo=4";"EMI";"https://www.deezer.com/track/568120982";
"Magali Leger";"Astor Piazzolla : Mélodies et oeuvres pour piano";"Zamba nina - pour soprano et piano";2010;1712089479;1712089672;;"TRANSART";;
"Trio Zephyr";"Lucia";"Louva";2020;1712089666;1712089892;;"E-MOTIVE RECORDS";"https://www.deezer.com/track/1093500112";"https://open.spotify.com/track/1VqtYu2DSZquTM4igRsaY5"
"Tiberius B";"DIN";"Jetski";2023;1712089890;1712090080;"https://music.apple.com/fr/album/jetski/1680031526?i=1680031534&uo=4";"ZELIG";;"https://open.spotify.com/track/25UqWy5pedkjFuGUt2vKJG"
"Pachyman";"Switched-on";"Lovers";2023;1712090080;1712090253;"https://music.apple.com/fr/album/lovers/1693921971?i=1693921972&uo=4";"ATO RECORDS";;"https://open.spotify.com/track/55wMU47fgfWPJyIVhHGcW8"
"Pepite";"Qu'est-ce que j'y peux";"Qu'est-ce que j'y peux";2024;1712090245;1712090422;;"MICROQLIMA";"https://www.deezer.com/track/2521117731";"https://open.spotify.com/track/6bRQtIq6A23NbEAuEFs9ux"
"Day One";"Ordinary man";"Waiting for a break";2000;1712090418;1712090648;"https://music.apple.com/fr/album/waiting-for-a-break/724365945?i=724366446&uo=4";"VIRGIN";"https://www.deezer.com/track/3135004";"https://open.spotify.com/track/0r4RyzEwbNSnyfdcdk1NI3"
"Loyle Carner";"Hugo";"Nobody knows (Ladas road)";2022;1712090647;1712090836;"https://music.apple.com/fr/album/nobody-knows-ladas-road/1638173273?i=1638173278&uo=4";"EMI";"https://www.deezer.com/track/1964234287";"https://open.spotify.com/track/6n3gJBvi9jZB9kkzHqmZ8P"
"Joe Henderson";"Page One";"Jinrikisha";1963;1712090836;1712091272;"https://music.apple.com/fr/album/jinrikisha/1444001655?i=1444002304&uo=4";"BLUE NOTE";"https://www.deezer.com/track/129760592";
"The Impressions";"Can you dig it ? / The '70s soul experience vol. 3";"Finally got myself together (I'm a changed man)";1974;1712091272;1712091453;;"RHINOCEROS";;
"Damon Albarn";"Everyday robots (special edition) (extrait)";"Lonely press play";2014;1712091467;1712091685;;"PARLOPHONE";;"https://open.spotify.com/track/5lEIBqvpZEGhjMg8rdVKeg"
"Quatuor Novus";"Webern Beethoven Yun : Quatuors à cordes";"Arirang - arrangement pour quatuor à cordes";2015;1712091671;1712091908;;"APARTE";;
"Sade";"Love deluxe";"Cherish the day";1992;1712091904;1712092234;;"EPIC";"https://www.deezer.com/track/1030652072";"https://open.spotify.com/track/22QiTJqDn1BIRSh4mkNJ5w"
"De Phase";"Bonjour";"When it comes to me (feat. Stace & Jeenko)";2023;1712092214;1712092429;;"PLAISANCE RECORDS";;
"Mancini";"Jouer";"Jouer";2023;1712092423;1712092580;;"MCA";;"https://open.spotify.com/track/3cP4WYejNOhN9Kd3LagHyd"
"You & The Explosion Band";"Touch";"Silhouette";2023;1712092583;1712092832;;"WEWANTSOUNDS";;
"Lee Hazlewood";"Movin On";"It was a very good year";2009;1712092821;1712093073;;"ACER";;
"Georges Jones";"Classics' n' covers : Johnny Hallyday";"Tender years";1961;1712093068;1712093209;;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";;
"David Bowie";"Station to station";"Golden years";1975;1712093208;1712093444;;"EMI";;
"Mireille Mathieu";"BOF/ La bonne année";"La bonne année (version instrulmentale)";1973;1712093438;1712093639;;"PHILIPS";;
"Peggy Lee";"Mink jazz";"Cloudy Morning";1963;1712093628;1712093787;;"CAPITOL RECORDS";;"https://open.spotify.com/track/6eR6NEWc0Yf57WALXzm83V"
"BadBadNotGood";"Take what's given";"Take what's given (feat. Reggie)";2024;1712093788;1712093961;;"XL RECORDINGS";;
"Mamama";"Hier sera meilleur";"Hier sera meilleur";2024;1712093955;1712094221;;"BYEBYE RECORDS";"https://www.deezer.com/track/2585061582";"https://open.spotify.com/track/5H60GFTYJ1KTZojLbdXvX2"
"Jose Miguel Moreno";"Pieces pour theorbes francaises";"Pieces de viole livre IV 2eme partie : La reveuse";2000;1712094217;1712094491;;"GLOSSA M";;
"Francoise Hardy";"Comment te dire adieu";"Comment te dire adieu";1968;1712094484;1712094628;;"VIRGIN";"https://www.deezer.com/track/3120527";
"Percheye";"Demi-mesure";"On my mind";2023;1712094628;1712094763;;"B&D PRODUCTION";;"https://open.spotify.com/track/5IAeKuEHi7gqkAZtuWInQa"
"Ahu";"Stellar";"It ain't necessarily so";2023;1712094762;1712094891;;"MYTHSTERY RECORDS";;"https://open.spotify.com/track/4X1V8K5vSxDhVId86EpRKp"
"Albert Newton";"Twin earth";"Yimtyk";2024;1712094891;1712095069;;"BYEBYE RECORDS";"https://www.deezer.com/track/2660620052";"https://open.spotify.com/track/0P37CcKn5vqx6r46TfpzRF"
"Julien Baer";"Drole de situation";"Fleuve Niger";2008;1712095092;1712095234;;"CD PROMO";"https://www.deezer.com/track/12452437";
"Toumani Diabate";"Boulevard de l'indépendance";"Boulevard de l'indépendance";2006;1712095228;1712095462;;"WORLD CIRCUI";;
"Asgeir";"Bury the moon";"Pictures";2020;1712095460;1712095696;;"ONE LITTLE INDIAN RECORDS";;"https://open.spotify.com/track/4qkgQT5rV2aNAnMw7kTmvW"
"Renee Olstead";"Sleepwalk";"Sleepwalk";2013;1712095686;1712095836;"https://music.apple.com/fr/album/sleepwalk/723181311?i=723181363&uo=4";"RENEE LLC";"https://www.deezer.com/track/71515420";"https://open.spotify.com/track/2LAKLX6o1JzQJHUp8NIhLA"
"Annie Ross";"Sings a song with Mulligan";"Let ther be love";1958;1712095831;1712096053;;"EMI";;
"Kenny Burrell";"Kenny Burrell & John Coltrane";"Why Was I Born?";1958;1712096051;1712096242;;"WEA";;
"Yellowman";"Yellowman/Life in the ghetto";"Stand up for your rights";1990;1712096242;1712096468;;"TASSA RECORDS";;
"Finley Quaye";"Maverick a strike";"Sunday shining";1997;1712096461;1712096679;"https://music.apple.com/fr/album/sunday-shining/211423363?i=211424170&uo=4";"EPIC";"https://www.deezer.com/track/1037078";"https://open.spotify.com/track/1zoQeNvtQRMm1LqCWlG9S5"
"Diana Ross & The Supremes";"The greatest songs written by Holland Dozier";"Come see about me";1964;1712096674;1712096794;;"MOTOWN";"https://www.deezer.com/track/2566998162";
"Bacao Rhythm & Steel Band";"BRSB";"Hazy memories";2024;1712096790;1712097008;"https://music.apple.com/fr/album/hazy-memories/1716439561?i=1716439790&uo=4";"BIG CROWN RECORDS";"https://www.deezer.com/track/2540888931";"https://open.spotify.com/track/1nIXmSFxhwt00yHw2x6LJ9"
"John Fogerty";"Centerfield";"The old man down the road";1984;1712097000;1712097200;;"UNIVERSAL";;"https://open.spotify.com/track/5xVFZXORCDQUGIzpe45SCO"
"Robi";"On ne meurt plus d'amour";"On ne meurt plus d'amour (radio edit)";2012;1712097197;1712097417;;;;
"John Williams (Chef d'orchestre)";"BOF / Indiana Jones et la dernière croisade";"Indiana Jones et la dernière croisade : No ticket";1989;1712097419;1712097581;;"WARNER BROS";;
"Andrea Motis & WDR Big Band Cologne";"Colors & shadows";"Brisa";2021;1712097576;1712097890;;"JAZZLINE";;
"Cat Stevens";"Mona bone jakon";"Mona bone jakon";1971;1712097889;1712097987;;"ISLAND";;
"Jesca Hoop";"Undress";"Murder of birds";2014;1712097986;1712098275;;"JESCA HOOP";"https://www.deezer.com/track/4650351";
"Kokoroko";"Could we be more";"Those good times";2022;1712098273;1712098520;;"BROWNSWOOD RECORDINGS";;"https://open.spotify.com/track/0bC1l5BKvmASdvqoLTCbJE"
"Enchantee Julia";"House of groove";"Sois pas pressé";2023;1712098519;1712098681;;"ROCHE MUSIQUE";;"https://open.spotify.com/track/2FzxtQBFZT6cykbKF3uu9v"
"Brittany Davis";"Image issues";"Goons";2024;1712098708;1712098824;;"LOOSEGROOVE RECORDS";"https://www.deezer.com/track/2537983701";"https://open.spotify.com/track/62U2IWdhEdNyyKWRZyF614"
"Fatbabs";"48° Nord";"The Rainbow Warrior";2021;1712098821;1712099010;;"BIG SCOOP RECORDS";;"https://open.spotify.com/track/2poIHoLIBBBz5XxK7AT7G5"
"Pete Rodriguez";"Latina / Le son latino";"Micaela";1967;1712099008;1712099197;;"WAGRAM";"https://www.deezer.com/track/686165272";
"Betty Wand";"BOF / West Side story";"America";1965;1712099186;1712099484;;"CBS";;
"Yves Simon";"The best of 1973-1977";"J'ai rêvé New York";1974;1712099489;1712099772;;"RCA";"https://www.deezer.com/track/1687333627";"https://open.spotify.com/track/5N44LdLDZCN9WDuwSK40JI"
"Brian Keane";"Andy Warhol : A Documentary Film";"Andy Warhol : A Documentary Film : Bird in hand";2006;1712099771;1712100011;;"VALLEY ENTERTAINMENT";;
"J.S. Ondara";"American dream";"American dream";2019;1712100004;1712100238;;"DECCA RECORDS";;
"G Love";"The hustle";"Two birds";2004;1712100229;1712100417;;"BRUSHFIRE RE";;
"Laufey";"From the start";"From the start";2023;1712100422;1712100590;"https://music.apple.com/fr/album/from-the-start/1690607869?i=1690609217&uo=4";"PROPELLER CREATIVE LTD";"https://www.deezer.com/track/2238153377";"https://open.spotify.com/track/43iIQbw5hx986dUEZbr3eN"
"Academy Of Saint Martin In The Field";"Joseph Haydn : Symphonies";"Symphonie en Sol Maj HOB I : 8 Le soir : IV Presto La tempesta";;1712100581;1712100798;;"PHILIPS";;
"Andrea Laszlo De Simone";"Vivo (radio edit)";"Vivo (radio edit)";2021;1712100795;1712101060;;"UNIVERSAL";;
"Bobby Hebb";"Sunny (a collection of various interpretation of)";"Sunny";1966;1712101063;1712101223;;"NOCTURNE";;"https://open.spotify.com/track/4vju55Ag7apDL2CfotuE7Q"
"Eddie Floyd";"Bof / Soul men";"Soul men : I've never found a girl (to love me like you do)";2008;1712101221;1712101383;;"STAX";;
"Billie Holiday";"The complete Billie Holiday on Verve 1945-1959 cd 8 à 10";"Baby, won't you please come home?";;1712101381;1712101566;;"VERVE";;
"Fanny Ardant";"Bof/8 femmes";"A quoi sert de vivre libre";2001;1712101565;1712101721;;"WEA";;
"Lee Evans";"The new and exciting piano talent plays the best in Pops";"Never on sunday (Les enfants du Pirée du film jamais le dimanche)";1965;1712101721;1712101827;;"VOIX DE SON MAITRE";;
"Leila Mourad";"The best of Leila Mourad";"Doumouh ainaya";;1712101826;1712102003;;"CAIROPHON";;
"Rachid Taha";"Je suis africain";"Minouche";2019;1712102003;1712102199;;"NAIVE / BELIEVE";;"https://open.spotify.com/track/0FRzgvv7YFCpLErZ5kEWub"
"Andrew Bird & Jimbo Mathus";"These 13";"Dig up the hatchet";2021;1712102198;1712102347;;"THIRTY TIGERS RECORDS";;
"Jake Xerxes Fussell";"Good and green again";"What did the hen duck say to the drake ?";2022;1712102354;1712102535;;"PARADISE OF BACHELORS";;
"Mungo Jerry";"Cette annee la 1970";"In the summertime";1970;1712102535;1712102738;;"MUSIC CLUB";;"https://open.spotify.com/track/2uzlv8PjqsVvF1DhEahyhy"
"Weezer";"Island In The Sun";"Island in the sun";2001;1712102737;1712102933;;"GEFFEN";"https://www.deezer.com/track/2544628";"https://open.spotify.com/track/2MLHyLy5z5l5YRp7momlgw"
"Hawaiian Pistoleros";"MaAuLa-o-rama / Vol.3";"On a coconut Island";2020;1712102933;1712103152;;"MAAULA RECORDS";;
"Martin Denny";"Forbidden island / Primitiva";"Forbidden island";1958;1712103150;1712103324;;"SCAMP";;"https://open.spotify.com/track/6UMAEsJEaKEN7Y2GXtid5a"
"Conny Froboess";"Parlez-vous pop ?";"Chez nous";1961;1712103324;1712103500;;"BUREAU B";;
"Olivia Flowers";"Incandescence";"The Light";2018;1712103498;1712103759;;;;
"Liam Bailey";"Zero grace";"Canary in the coal mine";2024;1712103759;1712103947;"https://music.apple.com/fr/album/canary-in-the-coal-mine/1714807132?i=1714807551&uo=4";"BIG CROWN RECORDS";;"https://open.spotify.com/track/2KX1J8Ki965JxVdTm4qmvW"
"Anomalie";"Métropole part I & Métropole part II";"Velours";2018;1712103957;1712104210;;"AUTO PRODUCTION";"https://www.deezer.com/track/2111537717";
"Abstract Rude";"Rejuvenation";"Man Down";2010;1712104209;1712104401;;"RHYMESAYERS";;
"Carlinhos Brown";"Bof / Rio";"Market forro";2011;1712104401;1712104531;;"VARESE SARAB";;"https://open.spotify.com/track/28zExmDUz5cBlJKKmdKgLI"
"Alexander Sevastian";"Russian favorites / Alexander Sevastian interprète des classiques russes à l'accordéon";"Les saisons op 37b : Novembre troika en Mi Maj op 37b n°11 - arrangement pour accordéon";2011;1712104530;1712104729;;"ANALEKTA";;
"David Byrne";"Feelings";"They are in love";1997;1712104731;1712104979;;"WB";"https://www.deezer.com/track/3889400";"https://open.spotify.com/track/3gLQ3AmypxV8L7rXRvJHa4"
"The Clean";"Anthology (Vol 2)";"Anything could happen";1981;1712104979;1712105130;;"MERGE RECORDS";"https://www.deezer.com/track/1493134932";"https://open.spotify.com/track/0ABc0r7E6hsLL3NBPWsLZa"
